AUTHORS,TITLE,JOURNAL,VOLUME,LPAGES,UPAGES,DOI,YEAR,ABSTRACT
"Alves, Maria Alice S.; Cavalcanti, Roberto B.","Sentinel behavior, seasonality, and the structure of bird flocks in a Brazilian savanna.",Ornitologia Neotropical,7,43,51,,1996,
"Limparungpatthanakij, Wichyanan; Gale, George A.; Brockelman, Warren Y.; Round, Philip D.",Western striped squirrel Tamiops mcclellandii: A non-avian sentinel species of bird waves.,Raffles Bulletin of Zoology,65,474,481,,2018,"The presence of avian sentinels in bird waves (mixed-species foraging flocks), which mob or alarm-call in response to predators, is widely recognised. Yet in the highly threatened lowland deciduous forests of South-east Asia, a mammal, the western striped squirrel Tamiops mcclellandii, which usually accompanied bird-waves, was a more obtrusive sentinel than any bird. It called most often in response to predators (40 out of 70 observations) and was the first species to emit alarm calls on 24 occasions (60%) where studied in Huai Kha Khaeng Wildlife Sanctuary, western Thailand. The squirrels fed in close proximity to drongos (Dicrurus spp.), suggesting they may benefit from the drongos' tendency to mob predators. Additionally, the drongos actively followed the bark-foraging squirrels in order to capture flushed arthropods. The presence of the western striped squirrel both helped reduce the need for vigilance among avian flock members and contributed to flock cohesion."
"Oatley, Terry",Going to ground. The life of a terrestrial woodpecker.,Africa Birds & Birding,8,28,33,,2003,
"Sommer, Christina",ALARM CALLING AND SENTINEL BEHAVIOUR IN ARABIAN BABBLERS,BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING,20,357,368,10.1080/09524622.2011.9753657,2011,"Potential predators elicit alarm calls in many birds and mammals. The context-specific occurrence of acoustically distinct alarm call types may allow conclusions about their functions and/or the underlying call system. Furthermore, many group-living species exhibit a co-operative system of vigilance in terms of predator avoidance. In a descriptive field study I investigated alarm calling and sentinel activity in group-living Arabian Babblers Turdoides squamiceps focussing on the context-specificity of call type occurrence in relation to the caller's behaviour. The results revealed that two of the three different alarm call types were correlated to the distance to the predator: Barks were uttered more frequently to distant and tzwicks to close predators. Sentinels were more likely to utter barks and trills, but foraging group members tzwicks. Results suggest that sentinels detect potential dangers in greater distances and start calling earlier, whereas foraging birds detect predators only closer and therefore utter higher urgency calls. Finally, the results added to the current knowledge of the urgency-based call system of Arabian babblers, in which information can be provided on different levels: Variation in the call structure of single call types, combined use of different call types and discrete use of different call types in different contexts."
"Eastcott, Emma; Kern, Julie M.; Morris-Drake, Amy; Radford, Andrew N.",Intrapopulation variation in the behavioral responses of dwarf mongooses to anthropogenic noise,BEHAVIORAL ECOLOGY,31,680,691,10.1093/beheco/araa011,2020,"Anthropogenic noise is an increasingly widespread pollutant, with a rapidly burgeoning literature demonstrating impacts on humans and other animals, However, most studies have simply considered if there is an effect of noise, examining the overall cohort response. Although substantial evidence exists for intraspecific variation in responses to other anthropogenic disturbances, this possibility has received relatively little experimental attention with respect to noise. Here, we used field-based playbacks with dwarf mongooses (Helogale parvula) to test how traffic noise affects vigilance behavior and to examine potential variation between individuals of different age class, sex, and dominance status. Foragers exhibited a stronger immediate reaction and increased their subsequent vigilance (both that on the ground and as a sentinel) in response to traffic-noise playback compared with ambient-sound playback. Traffic-noise playback also resulted in sentinels conducting longer bouts and being more likely to change post height or location than in ambient-sound playback. Moreover, there was evidence of variation in noise responses with respect to age class and dominance status but not sex. In traffic noise, foraging pups were more likely to flee and were slower to resume foraging than adults; they also tended to increase their vigilance more than adults. Dominants were more likely than subordinates to move post during sentinel bouts conducted in traffic-noise trials. Our findings suggest that the vigilance-foraging trade-off is affected by traffic noise but that individuals differ in how they respond. Future work should, therefore, consider intra-population response variation to understand fully the population-wide effects of this global pollutant."
"Wright, J; Berg, E; De Kort, SR; Khazin, V; Maklakov, AA",Cooperative sentinel behaviour in the Arabian babbler,ANIMAL BEHAVIOUR,62,973,979,10.1006/anbe.2001.1838,2001,"Cooperative sentinel behaviour in Arabian babblers, Turdoides squamiceps, appears generally consistent with state-dependent models of individually selfish antipredator behaviour. We examined further detailed aspects of this cooperative behaviour, including the suggestion that by engaging in this behaviour sentinels advertise their status and gain social prestige. Chosen sentinel locations were higher, but no more exposed, than the best alternative locations within 25 m. Sentinels started off closer to the centre of the foraging group than when sentinel bouts were terminated. Change-overs between sentinels were nearly always due to previous sentinels terminating their own bout. On the rare occasions when bouts were interrupted by upcoming sentinels, physical contact or aggression was extremely rare. Dominant males tended to terminate sentinel bouts of other birds, interrupting especially the dominant females. Other than this, there was no effect of an individual's sex or dominance rank on any aspect of sentinel change-overs or location choice when acting as a sentinel. There were also no differences in any sentinel activity between simple family groups, and those more complex nonfamily groups within which individuals compete for reproduction. Rates of alarm calling did not differ between group members, although dominant males did make more territorial calls to neighbouring groups while acting as a sentinel. Therefore, we found relatively little evidence that individuals compete for the chance to act as a sentinel as a means of showing off within groups of Arabian babblers. Instead, our study confirms the primary function of sentinels as a system of cooperative vigilance. (C) 2001 The Association for the Study of Animal Behaviour."
"Ragusa-Netto, J",Vigilance towards raptors by nuclear species in bird mixed flocks in a Brazilian savannah,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,37,219,226,10.1076/snfe.37.3.219.8573,2002,"A nuclear or leader species is the one around which foraging activity is organized. In the campo-cerrado (Brazilian savannah) up to four bird species (Saltator atricollis, Cypsnagra hirundinacea, Mimus saturninus, and Neothraupis fasciata) may function as nuclear or leader species in mixed species flocks. The aim of this study was to assess the features shown by these nuclear species. I quantified parameters of sociality, communication and alertness of nuclear bird species in mixed flocks with different composition. Parameters related to sociality (mean intraspecific group size) and communication (frequency of contact calls) were not correlated with the leadership. On the other hand, the most alert species was in the front of a given mixed flock most of the time. The leader species spent more time in vigilance and gave most alarm calls due to approaching raptors earlier. The results of this study strongly suggest that the alertness of a species is the major character of nuclear bird species in mixed flocks of the campo-cerrado."
"Bednekoff, Peter A.; Bowman, Reed; Woolfenden, Glen E.",Do conversational gutturals help florida scrub-jays coordinate their sentinel behavior?,ETHOLOGY,114,313,317,10.1111/j.1439-0310.2008.01467.x,2008,"Florida scrub-jays, Aphelocoma coerulescens, perform sentinel behavior in which individuals alternate bouts of watchfulness with little overlap. We examined how calls might facilitate sentinel coordination. Small soft calls labeled conversational gutturals were heard more often from sentinels than from foraging birds. Calls occurred infrequently throughout sentinel bouts but were more common later in bouts. The pattern of calling does not match predictions for a 'watchman's song' at regular intervals nor for a signal at the end of a sentinel bout. Thus, our quantitative assessment of calling by sentinels did not find support for either standard hypothesis. Although Florida scrub-jays clearly have information on each other's sentinel behavior, our results suggest that calls provide perhaps a fraction of this information."
"Sirot, Etienne",Negotiation may lead selfish individuals to cooperate: the example of the collective vigilance game.,Proceedings of the Royal Society Biological Sciences Series B,279,2862,2867,,2012,"Game-theoretical models have been highly influential in behavioural ecology. However, these models generally assume that animals choose their action before observing the behaviour of their opponents while, in many natural situations, individuals in fact continuously react to the actions of others. A negotiation process then takes place and this may fundamentally influence the individual attitudes and the tendency to cooperate. Here, I use the classical model system of vigilance behaviour to demonstrate the consequences of such behavioural negotiation among selfish individuals, by predicting patterns of vigilance in a pair of animals foraging under threat of predation. I show that the game played by the animals and the resulting vigilance strategies take radically different forms, according to the way predation risk is shared in the pair. In particular, if predators choose their target at random, the prey respond by displaying moderate vigilance and taking turns scanning. By contrast, if the individual that takes flight later in an attack endures a higher risk of being targeted, vigilance increases and there is always at least one sentinel in the pair. Finally, when lagging behind its companion in fleeing from an attacker becomes extremely risky, vigilance decreases again and the animals scan simultaneously."
"Hollen, L. I.; Bell, M. B. V.; Wade, H. M.; Rose, R.; Russell, A.; Niven, F.; Ridley, A. R.; Radford, A. N.",Ecological conditions influence sentinel decisions,ANIMAL BEHAVIOUR,82,1435,1441,10.1016/j.anbehav.2011.09.028,2011,"Ecological conditions can influence decisions relating to antipredator behaviour through impacts on the likelihood of detecting predators and the ability to hear vocalizations. Previous studies of antipredator behaviour have tended to focus on foragers, whose vigilance behaviour may be confounded by the type of food they are eating, and on receivers in vocal communication networks. We examined the impact of habitat and wind conditions on the behaviour of sentinels, individuals that suspend their own foraging to adopt a raised position to scan for danger while groupmates continue feeding, and that produce a variety of calls used by foragers to adjust their antipredator behaviour. Sentinels of the pied babbler, Turdoides bicolor, a cooperatively breeding bird, started guarding sooner and guarded for longer in long grass compared to more open habitats, and also initiated sentinel bouts sooner in high wind, probably because of the increased predation risk in such circumstances. Sentinels also selected positions that were both lower and closer to the foraging group when it was windy, potentially improving transmission of vocal signals that are valuable to foragers. Our results demonstrate that sentinel behaviour can be influenced by extrinsic factors, as well as the intrinsic factors previously shown, and suggest that ecological variation may affect decisions bearing both selfish and cooperative benefits. (C) 2011 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Favreau, Francois-Rene; Jarman, Peter J.; Goldizen, Anne W.; Dubot, Anne-Laure; Sourice, Stephane; Pays, Olivier","Vigilance in a solitary marsupial, the common wombat (Vombatus ursinus)",AUSTRALIAN JOURNAL OF ZOOLOGY,57,363,371,10.1071/ZO09062,2009,"We studied vigilance activity in a wild population of the common wombat (Vombatus ursinus), a large, solitary, burrow-using, marsupial prey species in which individuals tolerate the presence of conspecifics within their home range. For the first time, we report postures and rates of vigilance in common wombats; our results show a limited repertoire of vigilant postures and low overall rates of vigilance. Because few studies of birds and mammals that have reported the effect of distance to conspecifics on the vigilance of focal animals have considered solitary prey species, we tested this effect in wombats. Our results show that a model including distance to cover and distance to the nearest conspecific, but not time of day, best explained the variation in the proportion of time that focal individuals spent in vigilance. Individual vigilance decreased when distance to cover increased. Vigilance of wombats increased when there was a conspecific within a radius of 70 m of the focal individual. In addition, we tested whether pairs of nearby wombats scanned independently of one another, coordinated their activity in non-overlapping bouts of vigilance or synchronised their bouts of vigilance. Wombats in close proximity exhibited independent bouts of individual vigilant and foraging activity. Thus, in this solitary species, our results support the assumption that individuals scan independently of each other."
"Bednekoff, PA; Woolfenden, GE",Florida scrub-jays (Aphelocoma coerulescens) are sentinels more when well-fed (even with no kin nearby),ETHOLOGY,109,895,903,10.1046/j.0179-1613.2003.00926.x,2003,"Sentinels occupy high, exposed positions while other group members forage nearby. If sentinel behavior involves a foraging-predation risk trade-off, animals should be sentinels more when fed supplemental food. When individual Florida scrub-jays (Aphelocoma coerulescens) were fed fragments of peanuts, during the following 30 min they shifted 30% of their time from foraging to sentinel behavior. In a follow-up experiment, we fed either one or two members in each group. As before, the jays reduced their foraging and spent much more time as sentinels when given supplemental food. In each treatment, pairs were sentinels simultaneously considerably less often than expected by chance. The dramatic shift from foraging to sentinel behavior suggests that for Florida scrub-jays sentinel behavior brings substantial benefits for no greater cost than that of lost opportunities to forage. Because the results held for simple mated pairs of scrub-jays, we argue that kin selection and social prestige are not necessary to explain sentinel behavior."
"Ridley, A. R.; Raihani, N. J.",Facultative response to a kleptoparasite by the cooperatively breeding pied babbler,BEHAVIORAL ECOLOGY,18,324,330,10.1093/beheco/arl092,2007,"In many cases of interspecific kleptoparasitism, hosts develop defensive behaviors to minimize the impact of kleptoparasites. Because vigilance and defensive behaviors are often costly, selection should favor hosts that adjust the amount of investment needed to minimize losses to kleptoparasitism. However, examples of such facultative responses are rare. Here, we investigate the response of cooperatively breeding pied babblers (Turdoides bicolor) to the drongo (Dicrurus adsimilis), an avian kleptoparasite that regularly follows pied babbler groups, often giving alarm calls to alert the group to predators but also occasionally giving false alarm calls in order to steal food items. We show that pied babbler response to drongos varies markedly according to babbler group size. In small groups, where there are few individuals available to act as sentinels, babblers sentinel less when a drongo is present and respond strongly to drongo alarm calls. However, in large groups, where there are many individuals available to participate in predator vigilance, babblers sentinel more often when a drongo is present, rarely respond to drongo alarm calls, and aggressively displace drongos, with a consequent decline in the number of successful kleptoparasitism events. This behavior represent a facultative response to a kleptoparasite according to the costs versus benefits of tolerating their presence."
"Beani, L; Dessi-Fulgheri, F",Anti-predator behaviour of captive Grey partridges (Perdix perdix),ETHOLOGY ECOLOGY & EVOLUTION,10,185,196,10.1080/08927014.1998.9522866,1998,"Different experiments of simulated predators (flights of a raptor model, playbacks of raptor whistles and of alarms by conspecifics) were carried out on groups of captive Grey partridges (Perdix perdix) from game-farm stock, either intensively- or parent-reared. Both flights and alarms elicited high levels of antipredator behaviour. Freezing and vigilance occurred significantly more in parent-than in intensively-reared coveys. Upright vigilant posture was performed significantly more by males than by females. Good sentinels, i.e. the more vigilant males, formed a stable pair bond earlier than the other males. Advanced reproductive timing might compensate for the increased risk of predation from a sustained vigilance."
"Wright, J; Berg, E; de Kort, SR; Khazin, V; Maklakov, AA",Safe selfish sentinels in a cooperative bird,JOURNAL OF ANIMAL ECOLOGY,70,1070,1079,10.1046/j.0021-8790.2001.00565.x,2001,"1. Sentinel behaviour involves a unique cooperative system of dedicated look-outs which protect members of their social group from attack by predators. Using detailed observations from groups of Arabian babblers, Turdoides squamiceps, we tested the original theoretical suggestion that cooperative sentinel systems are simply the result of individually selfish state-dependent patterns of behaviour.2. Sentinel effort and the number of sentinel bouts per individual per hour were greater for males than females, and both increased with individual dominance status within the group.3. Sentinel behaviour was unaffected by group social structure, in terms of patterns of relatedness and the number of potential breeders.4. Total group sentinel effort increased with group size, while the effort per individual decreased irrespective of sex and dominance rank. Simultaneous sentinel behaviour by two or more birds was very rare, but increased with group size.5. Sentinel effort followed seasonal fluctuations in food availability, but not peaks of raptor migration through the study site.6. Body mass was greater for males than females and was positively related to dominance rank. Overall, body mass explained much of the variation in individual sentinel effort both within and between birds. However, data on individual foraging performance could not be related to changes in body mass and thus to differences in sentinel effort.7. Sentinel behaviour in groups of Arabian babblers therefore confirms many of the predictions arising from state-dependent models of cooperative, yet individually selfish, sentinel behaviour."
"Ridley, Amanda R.; Wiley, Elizabeth M.; Thompson, Alex M.",The ecological benefits of interceptive eavesdropping,FUNCTIONAL ECOLOGY,28,197,205,10.1111/1365-2435.12153,2014,"1Eavesdropping behaviour can increase the total amount of information available to an individual and therefore has the potential to provide substantial benefits. Recent research has suggested that some species are information givers', particularly social species with cooperative vigilance systems, and that these species may consequently affect community structure by influencing the behaviour and niche utilization of other species. Here, using behavioural observations and playback experiments, we compared the behavioural change in a solitary species (the scimitarbill) and a social species (the pied babbler), to the presence and alarm calls of one another. Our results revealed that scimitarbills underwent significant behavioural changes in the presence of social pied babblers: they reduced their vigilance rate by over 60%, increased their foraging efficiency and expanded their niche by moving into open habitat and excavating subterranean food items. In contrast, pied babblers - who have an effective intraspecific sentinel system - did not show significant behavioural changes to the presence or alarm calls of scimitarbills. These results suggest that interspecific interceptive eavesdropping can provide significant benefits, influencing the behaviour and habitat utilization of eavesdropping species."
"Squires, Kelly A.; Martin, Kathy; Goudie, R. Ian",Vigilance behavior in the Harlequin Duck (Histrionicus histrionicus) during the preincubation period in labrador: Are males vigilant for self or social partner?,AUK,124,241,252,10.1642/0004-8038(2007)124[241:VBITHD]2.0.CO;2,2007,"Males of several avian species are more vigilant than their female partners, particularly during the preincubation period. Male vigilance may function as a deterrent of extrapair copulation attempts (EPCs) or to ensure male survival, because males of sexually dimorphic species may be more conspicuous to predators than females. However, vigilant males may act as antipredator sentinels to enhance female survivorship, which may also allow females to feed and rest more efficiently, thereby enhancing their ability to form clutches. We attempted to distinguish between the male benefits and female benefits hypotheses by studying the behavior of unpaired males and paired Harlequin Ducks (Histrionicus histrionicus) during the preincubation period. Paired males were, on average, four times more vigilant than unpaired males and their mates, which suggests that elevated levels of vigilance by paired males does not function primarily for self-protection against predators. Males were not more vigilant during the female's fertile period, contrary to the paternity assurance hypothesis. Male vigilance during feeding bouts was highest when pairs fed alone near shore-a condition in which feeding was likely more risky. Male vigilance was positively correlated with female feeding when females fed near shore, but not at other times. During resting bouts, males were vigilant 14 +/- 0.01% of the time in all conditions. We suggest that male vigilance may be important to enhance female survival, especially when females feed under risky conditions."
"Kern, Julie M.; Radford, Andrew N.","Call of duty? Variation in use of the watchman's song by sentinel dwarf mongooses, Helogale parvula",ANIMAL BEHAVIOUR,85,967,975,10.1016/j.anbehav.2013.02.020,2013,"Social information is invaluable in assessing the need for antipredator behaviour. Individuals can acquire such information by observing the behaviour of others, but reliance on visual cues may be undermined by visual obstructions and social monitoring is often incompatible with foraging. Vocal communication does not require the close proximity of senders and receivers or the suspension of other activities, and there is increasing evidence that foragers can use vocalizations to inform decisions about their own vigilance. However, less work has focused on what factors influence signallers in this context. We used detailed behavioural observations and a playback experiment manipulating perceived risk to investigate the calling behaviour of dwarf mongoose sentinels. Sentinels vocalized more often in dense habitats and when foragers were further away, when visual cues were less likely to be useful. Sentinels also vocalized more in situations most advantageous to others, including when groupmates were likely to be distracted (e.g. when babysitting or foraging) and following an alarm call; sentinels may provide an 'all clear' signal. Call rate was reduced in high-risk situations, such as immediately after an alarm call. Individuals of different age, sex and dominance status varied in their likelihood of calling and their response to situations of similar risk, probably because of different cost-benefit trade-offs for separate classes. Our study offers strong evidence that dwarf mongoose sentinels are adjusting their vocal behaviour both to enhance the likelihood that groupmates are aware of their presence and to provide potentially valuable social information about current risk. (c) 2013 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved."
"Pays, Olivier; Jarman, Peter J.; Loisel, Patrice; Gerard, Jean-Francois","Coordination, independence or synchronization of individual vigilance in the eastern grey kangaroo?",ANIMAL BEHAVIOUR,73,595,604,10.1016/j.anbehav.2006.06.007,2007,"Vigilance activity is usually considered an adaptive advantage of group living conferring protection against predators. An individual of a prey species is assumed to benefit from an increase in the number of group members by reducing its own investment in vigilance. However, the proximate mechanism generating the decrease in vigilance with increasing group size is unclear. Most models of this relation assume that either individuals coordinate their scans in nonoverlapping bouts of vigilance or animals scan independently of one another. We studied the relation between vigilance and group size in the eastern grey kangaroo, Macropus giganteus, analysing vigilance at two structural levels, individual vigilance and collective vigilance of the group. We tested both assumptions, coordination and independence of scanning. The time that an individual spent vigilant decreased with group size. However, the time during which at least one individual in the group scanned the environment (collective vigilance) increased up to a group size of seven individuals but decreased thereafter. Analyses revealed that individuals neither coordinated their scanning in an asynchronous way nor scanned independently of one another. On the contrary, both the onset and the end of individuals' scanning bouts were synchronized between group members, producing waves of collective vigilance. Bouts of vigilance and nonvigilance activity tended to be synchronized. Our results appear to support a hypothesis of allelomimetic vigilance. (c) 2007 The Association for the Study of Animal Behaviour Published by Elsevier Ltd. All rights reserved."
"Pays, Olivier; Dubot, Anne-Laure; Jarman, Peter J.; Loisel, Patrice; Goldizen, Anne W.","Vigilance and its complex synchrony in the red-necked pademelon, Thylogale thetis",BEHAVIORAL ECOLOGY,20,22,29,10.1093/beheco/arn110,2009,"Several adaptive functions, including gaining information from other group members and detecting predators, are generally ascribed to vigilance in groups of animals subject to predation. Most studies of the effects of neighbors on vigilance have focused on individual vigilance. We investigated the effects of neighbors on vigilance in wild red-necked pademelons Thylogale thetis foraging at night in nonpersistent aggregations in a clearing in rain forest. Neither the total number of pademelons in the clearing nor the numbers at various distances around focal individuals affected the individual vigilance of focal animals. However, focal animals' individual vigilance did change with the distance to their nearest neighbor and also with distance to cover. Pairs of individuals closer than 10 m apart tended to synchronize their bouts of individual vigilance and foraging. The degree of synchrony within pairs increased with both distance to cover and the total number of pademelons foraging in the area and decreased with increasing distance to the pair's nearest neighbor but did not vary with the distance separating the members of the pair. Thus, despite their individual vigilance being unaffected by the number of other pademelons in the feeding aggregation, pademelons were nonetheless sensitive to the presence of conspecifics and adjusted their behavior in relation to their separation from neighbors. Thus, some vigilance benefits may be obtained from the presence of conspecifics even in species that aggregate only temporarily on food patches without forming more permanent social groups."
