"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","YEAR","ABSTRACT"
"82","Alex 3","YES","Eastcott, Emma; Kern, Julie M.; Morris-Drake, Amy; Radford, Andrew N.","Intrapopulation variation in the behavioral responses of dwarf mongooses to anthropogenic noise","BEHAVIORAL ECOLOGY","31","680","691","10.1093/beheco/araa011","2020","Anthropogenic noise is an increasingly widespread pollutant, with a rapidly burgeoning literature demonstrating impacts on humans and other animals, However, most studies have simply considered if there is an effect of noise, examining the overall cohort response. Although substantial evidence exists for intraspecific variation in responses to other anthropogenic disturbances, this possibility has received relatively little experimental attention with respect to noise. Here, we used field-based playbacks with dwarf mongooses (Helogale parvula) to test how traffic noise affects vigilance behavior and to examine potential variation between individuals of different age class, sex, and dominance status. Foragers exhibited a stronger immediate reaction and increased their subsequent vigilance (both that on the ground and as a sentinel) in response to traffic-noise playback compared with ambient-sound playback. Traffic-noise playback also resulted in sentinels conducting longer bouts and being more likely to change post height or location than in ambient-sound playback. Moreover, there was evidence of variation in noise responses with respect to age class and dominance status but not sex. In traffic noise, foraging pups were more likely to flee and were slower to resume foraging than adults; they also tended to increase their vigilance more than adults. Dominants were more likely than subordinates to move post during sentinel bouts conducted in traffic-noise trials. Our findings suggest that the vigilance-foraging trade-off is affected by traffic noise but that individuals differ in how they respond. Future work should, therefore, consider intra-population response variation to understand fully the population-wide effects of this global pollutant."
"83","Alex 3","NO","Neetu; Meshram, Pritam; Ray, S. S.","Field-Level Crop Classification Using an Optimal Dataset of Multi-temporal Sentinel-1 and Polarimetric RADARSAT-2 SAR Data with Machine Learning Algorithms","JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING","49","2945","2958","10.1007/s12524-021-01436-0","2021","Crop classification for acreage assessment using optical satellite data is challenging during Kharif (rainy) season in India due to persistent cloud cover. Microwave SAR data provides a promising alternative to it. In this present study, an optimum combination of multi-date Sentinel-1 (S-1) SAR data (VV mode) and RADARSAT-2 (R-2) fine quad polarization SAR (HH, VV, VH, and HV) data was used for crop classification at the field level, using machine learning techniques. Four dates of S-1 data, between July and August, and three dates R-2 quad pol data between September and October were used during the Kharif season of 2019 for part of Hoshangabad district of Madhya Pradesh, India. The study area's principal crops are rice and soybean, while minor crops are maize, pigeon pea, etc. A comprehensive approach combining principal component analysis, separability analysis, and layer-layer correlation was used to select the best seven dates/layers dataset for crop classification. Supervised machine learning classification algorithms of support vector machine (SVM), random forest, spectral angle mapper, and maximum likelihood classification were performed on the best set of S-1 and R-2 SAR selected dataset. Additionally, Wishart unsupervised classification was also performed on R-2 fully polarimetric data to classify the crops based on their scattering behavior. The results from five classification techniques were compared for their accuracy using ground truth data. It was observed that SVM, followed by Wishart, performed better than all other classification techniques regarding crop classification and area estimation accuracy. Overall, the study showed that an optimal combination of multi-date and multi-polarization SAR data from different satellites with a suitable classification technique is useful for crop area estimation at the field level, during Kharif season."
"84","Alex 3","maybe","Oatley, Terry","Going to ground. The life of a terrestrial woodpecker.","Africa Birds & Birding","8","28","33",NA,"2003",NA
"85","Alex 3","NO","Tremas, T.; Lonjou, V.; Lacherade, S.; Languille, F.; Gaudel-Vacaresse, A.","Sentinel 2A: the Image Quality performances at the beginning of the mission","EARTH OBSERVING SYSTEMS XXI","9972",NA,NA,"10.1117/12.2236910","2016","Launched on June 23rd, 2015 from Kourou, Sentinel 2A has been providing images for more than 1 year now. The satellite behavior is very satisfactory and the quality of data fulfills the requirements with comfortable margins. The realization and implementation of the satellite has been realized under the responsibility of ESA, for the European Commission. The In Orbit Commissioning phase lasted 4 months, concluded by a review on October 16th, 2015. At this date, the S2A space segment handover took place from the Project Manager (ESA/ESTEC) to the Mission Manager (ESA/ESRIN).The subset of Image Quality commissioning was delegated by ESA to CNES, referring to the experience of the French Space Agency on previous imagers. This phase lasted 7 months after the launch, extending beyond the IOCR. Actually, some parameters required several months before converging to a stable state. This paper presents the status of the satellite, from an IQ prospective, just before it entered its operational phase. The radiometric and geometric performances are listed, including: the absolute radiometric calibration, the equalization, the SNR, the absolute and the multi-temporal location accuracy. The accomplishment of a part of the Global Reference Image over Europe is evoked as well.The IQ commissioning phase ended on January 28th, 2016. From this date, the monitoring of IQ parameters is under the responsibility of ESA/ESRIN. Nevertheless, CNES continues to support ESA to survey the accuracy of S2A performances. The article ends by dealing with the future of S2A that will work together with S2B by the end of 2016."
"86","Alex 3","maybe","Ridley, Amanda R.; Wiley, Elizabeth M.; Thompson, Alex M.","The ecological benefits of interceptive eavesdropping","FUNCTIONAL ECOLOGY","28","197","205","10.1111/1365-2435.12153","2014","1Eavesdropping behaviour can increase the total amount of information available to an individual and therefore has the potential to provide substantial benefits. Recent research has suggested that some species are information givers', particularly social species with cooperative vigilance systems, and that these species may consequently affect community structure by influencing the behaviour and niche utilization of other species. Here, using behavioural observations and playback experiments, we compared the behavioural change in a solitary species (the scimitarbill) and a social species (the pied babbler), to the presence and alarm calls of one another. Our results revealed that scimitarbills underwent significant behavioural changes in the presence of social pied babblers: they reduced their vigilance rate by over 60%, increased their foraging efficiency and expanded their niche by moving into open habitat and excavating subterranean food items. In contrast, pied babblers - who have an effective intraspecific sentinel system - did not show significant behavioural changes to the presence or alarm calls of scimitarbills. These results suggest that interspecific interceptive eavesdropping can provide significant benefits, influencing the behaviour and habitat utilization of eavesdropping species."
"87","Alex 3","NO","Weeks, P; Griffith, SC","Sex ratios of Red-billed Oxpecker groups","OSTRICH","72","212","214","10.2989/00306520109485323","2001",NA
"88","Alex 3","NO","Barnes, R. S. K.; Davie, Peter J. F.","A new species of the sentinel crab Macrophthalmus (Mareotis) Barnes, 1967 (Crustacea : Brachyura : Macrophthalmidae) from Western Australia","ZOOTAXA",NA,"63","68","10.11646/zootaxa.1807.1.4","2008","Specimens previously identified as Macrophthalmus japonicus from Shark Bay, Western Australia, are described as a new species, M. pistrosinus. The new species differs both in behaviour and morphology from its closest relatives, particularly in characters such as proportions of male abdomens, setation patterns of claws, carapace dentition and leg morphology."
"89","Alex 3","NO","Evenden, ML; McLaughlin, JR","Factors influencing the effectiveness of an attracticide formulation against the Oriental fruit moth, Grapholita molesta","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA","112","89","97","10.1111/j.0013-8703.2004.00181.x","2004","An attracticide formulation, LastCall(TM) OFM, was tested against the Oriental fruit moth Grapholita molesta (Busck) (Lepidoptera: Tortricidae) in replicated small plot field trials in apple, Malus domestica (Borkhausen), orchards in South-eastern Pennsylvania, USA. Attracticide treatments were applied using a calibrated hand pump, and treated plots were compared to similar untreated plots. Male moth activity was monitored using virgin female-baited traps, and the potential for reduction in mating activity was assessed using sentinel virgin females. A comparison of application rates showed that 1500 droplets per ha of the attracticide formulation was as effective as 3000 droplets per ha, and both application rates reduced captures in synthetic pheromone-baited traps for prolonged periods. Droplets placed either at high or low positions within the canopy significantly reduced trap capture and mating with sentinel females. In addition, the only sentinel females that mated in the treated plots were located in the untreated portion of the tree canopy. Mate finding behaviour was equally disrupted by formulations with and without insecticide. Therefore, under the test conditions, the mechanism by which the attracticide formulation worked was by disruption of male orientation, and not by the removal of males due to insecticide poisoning. Two field cage experiments tested the impact of population density on the competitiveness of the attracticide formulation compared to virgin females. A significant proportion of males were captured in female-baited traps at the highest female-to-droplet ratio tested. Equal proportions of males were captured in attracticide-baited traps at male moth densities of 10, 20, 40, and 80 males per cage. These results clarify some of the factors influencing the effectiveness and possible mechanisms of an attracticide management tactic against the Oriental fruit moth."
"90","Alex 3","NO","Blazquez-Carrasco, A.; Gomez-Giraldez, P. J.; Castro-Rodriguez, J.; Colombo, S.; Carpintero, E.; Gonzalez-Dugo, M. P.","Estimation of olive groves cover crops net primary productivity using remote sensing data","REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XXIII","11856",NA,NA,"10.1117/12.2601181","2021","Cover crop in olive orchards is an increasingly applied soil and water conservation strategy, supported by European policies due to its multiple environmental benefits. To quantify these benefits, supervise and encourage the adoption of this practice, robust and affordable monitoring indicators of the cover crop dynamic and its biomass are required. This work represents the first attempt to estimate the biomass produced by olive grove cover crops based on remotely sensed data and an adaptation of the Monteith efficiencies approach. Ten olive tree fields were selected, distributed in three zones of Southern Spain. They comprised a high environmental variability and differed in the herbaceous layer management: cover crop in strips; non-tillage without strips (full coverage); and conventional tillage. An adaptation of the LUE (Light Use Efficiency)-model was applied to estimate Net Primary Production (NPP) using meteorological and Sentinel-2 data and subtracting the contribution of the wooded vegetation from the ground spectral response. The results showed an uneven adjustment in different fields. RMSD was equal to 650 kg ha-1, with an MBD of -17 kg ha-1, indicating a moderately high error (around 39%) but not too much bias. This error suggests that the model requires further refining, including the adjustment of model parameters to better represent this agrosystem. However, the evolution of biomass accumulation throughout the cover crop growing season and the behaviour of the daily biomass production provided interesting keys about the cover crops' phenology and management, supporting the discrimination between management practices."
"91","Alex 3","NO","Mehrabi, Ali","Monitoring the Iran Pol-e-Dokhtar flood extent and detecting its induced ground displacement using sentinel 1 imagery techniques","NATURAL HAZARDS","105","2603","2617","10.1007/s11069-020-04414-w","2021","On 25 March 2019, the Lorestan Province, Iran, suffered a heavy rainstorm. This rainstorm flooded the city of Pol-e-Dokhtar and many villages. To elucidate and monitor the nature of the spatial extent during and after the flood event, and to evaluate flood-induced ground displacement, the time series Sentinel 1 images were analyzed using threshold and SBAS-InSAR techniques. The SAR images were first calibrated, geometrically corrected, and filtered. Then, the threshold method was applied to draw the map of the affected areas. The results showed that flood spatial propagation varies through time. The nature of spatial extent was sinusoidal, so that the flood behavior complied with precipitation periods. Furthermore, the findings of the SBAS-InSAR indicated how an extreme flood can cause ground displacement. Several active movement areas were identified, showing a surface velocity up to -1.1 mm day(-1) away from the satellite. The field observations demonstrated that the landslide phenomenon occurred in some of these areas. Therefore, the other identified areas can also be at risk of landslides. Finally, based on the findings, it is evident that SAR data can effectively be used for flood water mapping, flood monitoring, and flood-induced ground displacement."
"92","Alex 3","NO","Waldner, Francois; Duveiller, Gregory; Defourny, Pierre","Local adjustments of image spatial resolution to optimize large-area mapping in the era of big data","INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION","73","374","385","10.1016/j.jag.2018.07.009","2018","Sentinel-2 has opened a new era for the remote sensing community where 10-m imagery is freely available with a 5-day revisit frequency and a systematic global coverage. Having both frequent and detailed observations across large geographic areas are ideal characteristics that can potentially revolutionize applications such as crop mapping and monitoring. However, such large volumes of high-resolution data pose challenges to users in terms of problem complexity, computational resources and processing time, beckoning the increasingly relevant question: at which resolution should this imagery be processed? Here, we develop a methodology to characterize resolution-dependent errors in cropland mapping and explore their behavior when we move across spatial scales and landscapes, taking special care to include the effects of the instrument's Point Spread Function (PSF). Results show how local upscaling of 10-m imagery, e.g., from Sentinel-2, to 30 m mitigates most the adverse effects generated by the PSF when comparing it to native 30-m imagery, e.g., from Landsat-8. Extending this logic, we demonstrate for two nationwide cases how maps can be calculated showing the optimal spatial resolution that keeps resolution-dependent errors below a user-defined threshold. Based on these maps, we estimate that 31% of Belgium and 59% of South Africa could be processed at 20 m instead of 10 m, while keeping the increase of resolution-dependent errors below 3%. These local resolution adjustments lead to a reduction in data volume and processing time by 23% and 44%, respectively."
"93","Alex 3","NO","Ksenak, L'ubomir; Pukanska, Katarina; Bartos, Karol; Blistan, Peter","Assessment of the Usability of SAR and Optical Satellite Data for Monitoring Spatio-Temporal Changes in Surface Water: Bodrog River Case Study","WATER","14",NA,NA,"10.3390/w14030299","2022","Mapping watercourses and their surroundings through remote sensing methods is a fast, continuous, and effective method and is a crucial tool for capturing change and possibly predicting hazards. Thanks to Synthetic Aperture Radar (SAR) technology and the ability of its backscattered and emitted radiation to penetrate the atmosphere under any conditions, this type of mapping of water surfaces is of particular importance. This paper presents the possibility of using SAR technology for long-term observations of changes in the behaviour of rivers and river systems, combined with optical multispectral images Sentinel-2. Additionally, it aims to demonstrate the suitability of satellite SAR and multispectral data implementation for mapping changes in watercourses, caused not only by their natural development but especially by inundation processes in their catchment area. Appropriate Sentinel-1 image processing evaluation procedures demonstrate that the usage of vertical-vertical (VV) type polarisation configuration is a suitable methodology for documenting water bodies, and a Lee filter is an acceptable tool for radar noise filtering. The extraction process of water surfaces is based on the determination of threshold values using the Otsu principle. Subsequently, the comparison of the results is realised by the spectral indices of water-the Normalized Difference Water Index (NDWI), Modified Normalized Difference Water Index (MNDWI), a pair of Automated Water Extraction Index (AWEI) indices, and supervised classification method Maximum Likelihood Classification (MLC). The results are numerical and graphical evaluated. In assessing the accuracy of SAR extraction, the highest values achieved in Overall Accuracy (OA) were a maximum of 98.6%. On average, the lower values were in User Accuracy (UA) with a maximum of 93.1%, where VV polarisation also dominates. However, vertical-horizontal (VH) polarisation dominates in Producer Accuracy (PA) with a maximum of 84.9%."
"94","Alex 3","NO","Heisig, Johannes; Olson, Edward; Pebesma, Edzer","Predicting Wildfire Fuels and Hazard in a Central European Temperate Forest Using Active and Passive Remote Sensing","FIRE-SWITZERLAND","5",NA,NA,"10.3390/fire5010029","2022","Climate change causes more extreme droughts and heat waves in Central Europe, affecting vegetative fuels and altering the local fire regime. Wildfire is projected to expand into the temperate zone, a region traditionally not concerned by fire. To mitigate this new threat, local forest management will require spatial fire hazard information. We present a holistic and comprehensible workflow for quantifying fuels and wildfire hazard through fire spread simulations. Surface and canopy fuels characteristics were sampled in a small managed temperate forest in Northern Germany. Custom fuel models were created for each dominant species (Pinus sylvestris, Fagus sylvatica, and Quercus rubra). Canopy cover, canopy height, and crown base height were directly derived from airborne LiDAR point clouds. Surface fuel types and crown bulk density (CBD) were predicted using random forest and ridge regression, respectively. Modeling was supported by 119 predictors extracted from LiDAR, Sentinel-1, and Sentinel-2 data. We simulated fire spread from random ignitions, considering eight environmental scenarios to calculate fire behavior and hazard. Fuel type classification scored an overall accuracy of 0.971 (Kappa = 0.967), whereas CBD regression performed notably weaker (RMSE = 0.069; R-2 = 0.73). Higher fire hazard was identified for strong winds, low fuel moisture, and on slopes. Fires burned fastest and most frequently on slopes in large homogeneous pine stands. These should be the focus of preventive management actions."
"95","Alex 3","NO","Tillman, Glynn; Cottrell, Ted; Balusu, Rammohan; Fadamiro, Henry; Buntin, David; Sial, Ashfaq; Vinson, Edgar; Toews, Michael; Patel, Dilani; Grabarczyk, Erin","Effect of duration of deployment on parasitism and predation of Halyomorpha halys (Stal) (Hemiptera: Pentatomidae) sentinel egg masses in various host plants","FLORIDA ENTOMOLOGIST","105","44","52",NA,"2022","The invasive brown marmorated stink bug, Halyomorpha halys (St($)over-circlel) (Hemiptera: Pentatomidae), is an agricultural and nuisance pest in Georgia and Alabama, USA. Natural enemies may provide significant suppression of the brown marmorated stink bug, and sentinel egg masses are deployed commonly on plants in the field to measure their effects. The objective of this study was to evaluate the effect of deployment duration (2-5 d) on parasitism and predation of brown marmorated stink bug sentinel egg masses in plum, peach, blueberry, tomato, sassafras, corn, and soybean in these 2 states. Retrieved egg masses were processed to quantify rates of predation and parasitism and identify parasitoid species and predation types. Across crops, predation and parasitism were higher significantly in plum at 5 d compared to 2 d deployment but was similar in soybean regardless of exposure time in 2017. Predation and parasitism were higher significantly after 5 d of exposure compared to 2 d and 3 d whereas parasitism was significantly higher at 3 d compared to 2 d exposure in 2018 to 2020. For individual crop trials, though, effects of time of exposure were tested in different yr, sampling dates, and crops with variable results. When significant differences were detected for parasitism in plum, peach, tomato, and sassafras, a 5 d deployment resulted in higher parasitism compared to 2 d. Given the variability of factors that affect parasitism and predation under field conditions, we conclude that a 5 d deployment is optimal and a 3 d exposure time is minimal for assessing predation and parasitism. An additional benefit for a 5 d exposure is that it increases the probability of detecting hyperparasitism."
"96","Alex 3","NO","Gordon, Ulla","Novel pest control technologies: Utilizing behavioural assays for the development of push-pull strategies against Ae. aegypti","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","254",NA,NA,NA,"2017",NA
"97","Alex 3","maybe","Alves, Maria Alice S.; Cavalcanti, Roberto B.","Sentinel behavior, seasonality, and the structure of bird flocks in a Brazilian savanna.","Ornitologia Neotropical","7","43","51",NA,"1996",NA
"98","Alex 3","NO","PIMENTO R J","SOME NOTES ON THE SEA SNAKE LATICAUDA-COLUBRINA","Journal of the Bombay Natural History Society","69","191","192",NA,"1972",NA
"99","Alex 3","NO","Solari, Lorenzo; Raspini, Federico; Del Soldato, Matteo; Bianchini, Silvia; Ciampalini, Andrea; Ferrigno, Federica; Tucci, Stefano; Casagli, Nicola","Satellite radar data for back-analyzing a landslide event: the Ponzano (Central Italy) case study","LANDSLIDES","15","773","782","10.1007/s10346-018-0952-x","2018","In this manuscript, an integrated strategy that exploits both phase and amplitude features of satellite SAR (synthetic aperture radar) images and ground data is proposed for deriving the deformation field induced by a complex landslide that affected part of the village of Ponzano (Abruzzi Region, Central Italy). The February 12, 2017, landslide was triggered by the combined effects of intense rainfalls and snowmelt that saturated the slope. The SqueeSAR algorithm was applied to two C-band SAR datasets, composed by Radarsat-2 and Sentinel-1 images, spanning a nine-year time interval before the landslide occurrence. Moreover, the amplitude information carried by two TerraSAR-X images, acquired immediately before and after the event, was exploited to derive the total displacement generated by the landslide movement by means of the RMT (rapid motion tracking) algorithm. The obtained results allow describing the landslide behavior before and after its failure. In particular, the back-monitoring analysis shows that the landslide was already slowly moving, with deformation rates increasing from the Radarsat-2 to the Sentinel-1 monitored periods, 10 years before its complete mobilization. The landslide failure of February 2017 produced maximum displacements of about 10 m in some sectors of the affected area. The registered deformation rates and the localization of the maximum displacements areas were confirmed by field data, collected during a field campaign and a helicopter recognizance of the damaged areas, both performed after the event."
"100","Alex 3","NO","Tresson, Paul; Tixier, Philippe; Puech, William; Beilhe, Leila Bagny; Roudine, Sacha; Pages, Christine; Carval, Dominique","CORIGAN: Assessing multiple species and interactions within images","METHODS IN ECOLOGY AND EVOLUTION","10","1888","1893","10.1111/2041-210X.13281","2019","Images are resourceful data for ecologists and can provide a more complete information than other methods to study biodiversity and the interactions between species. Automated image analysis however often relies on extensive datasets, not implementable by small research teams. We are here proposing an object detection method that allows the analysis of high-resolution images containing many animals interacting in a small dataset. We developed an image analysis pipeline named 'CORIGAN' to extract the characteristics of animal communities. CORIGAN is based on the YOLOv3 model as the core of object detection. To illustrate potential applications, we use images collected during a sentinel prey experiment. Our pipeline can be used to detect, count and study the physical interactions between various animals. On our example dataset, the model reaches 86.6% precision and 88.9% recall at the species level or even at the caste level for ants. The training set required fewer than 10 hr of labelling. Based on the pipeline output, it was possible to build the trophic and non-trophic interactions network describing the studied community. CORIGAN relies on generic properties of the detected animals and can be used for a wide range of studies and supports. Here, we study invertebrates on high-resolution images, but the same processing can be transferred for the study of larger animals on satellite or aircraft images."
"101","Alex 3","NO","Boni, A.; Taiti, A.; Bini, A.; Pasqui, C.","SENTINEL-5 SHORT-WAVE INFRARED SPECTROMETER OPTICAL DESIGN","OPTICAL DESIGN AND ENGINEERING VII","10690",NA,NA,"10.1117/12.2312456","2018","In the frame of the Sentinel-5 mission, Leonardo is developing the Short-Wave Infrared Spectrometer (SWIR-SS), part of the UVNS instrument foreseen to be embarked on board of the MetOP-SG satellite. S5 instrument objective is to monitor the composition of Earth atmosphere by taking measurements of trace gases and aerosols impacting air quality and climate, providing daily coverage of Earth atmosphere at an unprecedented resolution. SWIR-SS baseline architecture is a pushbroom imaging spectrometer with two channels, [1589 divided by 1676] nm and [2304 divided by 2386] nm, with a spectral resolution of less than 0.25 mu At the object space is located a Slit-Homogenizer, a special component which guides the optical path across the slit in order to mitigate radiometric errors arising from scene heterogeneity. Its behaviour introduces an astigmatism which is corrected at collimator level by making use of a cylindrical lens. Light is then guided towards the dispersers and is focused onto the detector by the cameras lens. Pupil anamorphism, smile and keystone due to dispersers, immersed gratings, are corrected by using a prism and combining the distortion/lateral color of collimator and focusing cameras in both optical channels. A low pass filter at the dichroic splits the wavelengths, while, for each channel, two successive coatings on front and back faces of the prisms select the band and mitigate out-of-band straylight. The design has the purpose to keep the alignment of each subsystem simple, as no aberration compensations have been foreseen between collimator and focusing camera. It shows robustness, stability vs temperature and high optical quality."
"102","Alex 3","NO","KENDALL, RJ; FUNSCH, JM; BENS, CM","USE OF WILDLIFE FOR ON-SITE EVALUATION OF BIOAVAILABILITY AND ECOTOXICITY OF TOXIC-SUBSTANCES FOUND IN HAZARDOUS-WASTE SITES","IN SITU EVALUATION OF BIOLOGICAL HAZARDS OF ENVIRONMENTAL POLLUTANTS","38","241","255",NA,"1990",NA
"103","Alex 3","NO","Huang, Yushi; Nugegoda, Dayanthi; Wlodkowic, Donald","Automation of Daphtoxkit-F biotest using a microfluidic Lab-on-a-Chip technology","MICRO+NANO MATERIALS, DEVICES, AND SYSTEMS","9668",NA,NA,"10.1117/12.2202396","2015","An increased rigor in water quality monitoring is not only a legal requirement, but is also critical to ensure timely chemical hazard emergency responses and protection of human and animal health. Bioindication is a method that applies very sensitive living organisms to detect environmental changes using their natural responses. Although bioindicators do not deliver information on an exact type or intensity of toxicants present in water samples, they do provide an overall snapshot and early-warning information about presence of harmful and dangerous parameters. Despite the advantages of biotests performed on sentinel organisms, their wider application is limited by the nonexistence of high-throughput laboratory automation systems. As a result majority of biotests used in ecotoxicology require time-consuming and laborious manual procedures.In this work, we present development of a miniaturized Lab-on-a-Chip (LOC) platform for automation and enhancement of acute ecotoxicity test based on immobilization of a freshwater crustacean Daphnia magna (Daphtoxkit-F (TM)). Daphnids' immobilization in response to sudden changes in environment parameters is fast, unambiguous, and easy to record optically. We also for the first time demonstrate that LOC system enables studies of sub-lethal ecotoxic effects using behavioral responses of Daphnia magna as sentinels of water polution.The system working principle incorporated a high definition (HD) time-resolved video data analysis to dynamically assess impact of the reference toxicant on swimming behavior of D. magna. Our system design combined: (i) microfluidic device for caging of Daphnia sp.; (ii) mechatronic interface for fluidic actuation; (iii) video data acquisition; and (iv) algorithms for animal movement tracking and analysis."
"104","Alex 3","NO","Chalmers, P.; McDonald, K. M.","Relocating an existing zebrafish colony to a new facility","JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE","46","112","112",NA,"2007",NA
"105","Alex 3","NO","Roltsch, William J.; Burgi, Linda P.; Tomic-Carruthers, Nada; Rugman-Jones, Paul F.; Stouthamer, Richard; Mills, Nicholas J.","Mortality of light brown apple moth egg masses in coastal California: Impact of resident Trichogramma parasitism and predation","BIOLOGICAL CONTROL","152",NA,NA,"10.1016/j.biocontrol.2020.104465","2021","Egg mortality of light brown apple moth (LBAM), Epiphyas postvittana (Walker), was studied during the early years of its discovery and establishment in California from 2008 to 11. Sentinel egg cards were used to quantify mortality by parasitoids and predators at an intensively monitored location in Santa Cruz to reveal seasonality, and at other sites in Santa Cruz and San Francisco to measure spatial variation and parasitoid species composition. In addition to egg mortality, egg mass use efficiency by Trichogramma parasitoids was also examined under field conditions. The egg parasitoids primarily consisted of three Trichogramma species, T. deion, T. fasciatum and T. platneri. Previously unknown to California, T. fasciatum was shown to displace the indigenous T. platneri over a two-year period as the predominant egg parasitoid attacking LBAM egg masses. Based on the number of parasitized eggs per sentinel egg card, it is argued that individual females of at least some Trichogramma species have the capacity to oviposit more than 50 eggs in the egg mass of a host, warranting further studies to document the egg mass use efficiency and oviposition traits of other trichogrammatids under field conditions. Although egg parasitism was limited to causing elevated mortality during the summer and fall only, egg predation occurred more consistently throughout the year and is likely to be of considerable significance in suppressing LBAM populations in California. Combined with the use of a Type II survivorship curve, the importance of using a temperature-dependent physiological time scale to quantify egg mortality is illustrated when sentinel hosts are exposed to natural enemies in the field for less than the entire duration of the 'window of susceptibility' to parasitism and predation."
"106","Alex 3","NO","Liu Jian; Wang Jinning; Wang Zhiyong","Detecting the deformation of fast ice by InSAR technology with Sentinel-1A descending and ascending orbits data","2020 2ND INTERNATIONAL CONFERENCE ON GEOSCIENCE AND ENVIRONMENTAL CHEMISTRY (ICGEC 2020)","206",NA,NA,"10.1051/e3sconf/202020603028","2020","Accurate mapping of fast ice deformation can effectively characterize the rheological behavior of fast ice and subsequently improve sea ice model. This study used the Sentinel-1A descending and ascending orbits data to detect the deformations of fast ice in the Baltic Sea. A method for automatically obtaining fast ice edge line by combining interferometric coherence image and SAR amplitude image was proposed. Then, the deformations of fast ice were detected from different incidence angles with the descending and ascending orbits data. The results showed that the deformations in radar line of sight obtained from the descending and ascending orbits data were 38cm and 37cm respectively within the fast ice region of 960km(2) in the study area. The continuous strong southwest wind was the principal reason for the deformation, and the deformation direction was dominated by east to west. Moreover, the inner fast ice kept stable and its deformation was smaller due to the protection of outer consolidated ice. The experimental results in this paper showed that the deformation trend and characteristics of fast ice can be better understood by InSAR technology with multi-orbits SAR data."
"107","Alex 3","NO","Brassard, Claude; Gauthier, Johanne; Lussier, Jean-Francois; Way, Monty; Collier, Frank","The Status of the Northern Gulf of St. Lawrence (3Pn, 4RS) Cod Stock (Gadus morhua) in 2016.","Canadian Science Advisory Secretariat Research Document","39","i","xi, 1-116",NA,"2018","Assessment of the cod (Gadus morhua) stock of the Northern Gulf of St. Lawrence (NAFO 3Pn, 4RS) is based on data from commercial fisheries, a tagging program, an abundance index calculated from the DFO research survey, abundance indices from the fixed gear sentinel fisheries program (longlines and gillnets), an abundance index from the mobile gear sentinel fisheries program and biological data. This document describes the data and methods used to assess several indicators including abundance, biomass, spawning biomass, natural mortality, exploitation rate and recruitment. It also includes a prediction of the stock trends until 2019. The cod stock of the northern Gulf of St. Lawrence remains in the critical zone and well below the limit reference point. The spatial distribution of this stock is now similar to that observed in the 1990s. The exploitation rate is currently low, while natural mortality is high. An annual harvest of 3,000 t for the next two seasons should allow the spawning stock biomass to increase."
"108","Alex 3","NO","Greig-Smith, P.","Stonechat sentinels.","Birds (Sandy)","11","17","18",NA,"1986",NA
"109","Alex 3","NO","Barnes, R.S.K.; Davie, Peter J.F.","A new species of the sentinel crab Macrophthalmus (Mareotis) Barnes, 1967 (Crustacea: Brachyura: Macrophthalmidae) from Western Australia.","Zootaxa","1807","63","68",NA,"2008","Specimens previously identified as Macrophthalmus japonicus from Shark Bay, Western Australia, are described as a new species, M. pistrosinus. The new species differs both in behaviour and morphology from its closest relatives, particularly in characters such as proportions of male abdomens, setation patterns of claws, carapace dentition and leg morphology."
"110","Alex 3","NO","Hubert, WA; Joyce, MP; Gipson, R; Zafft, D; Money, D; Hawk, D; Taro, B","Whirling disease among snake river cutthroat trout in two spring streams in Wyoming","WHIRLING DISEASE: REVIEWS AND CURRENT TOPICS","29","181","193",NA,"2002","We assessed endemic age-0 cutthroat trout Oncorhynchus clarki for evidence of pathology associated-with Myxobolus cerebralis in two streams formed by springs in western Wyoming. We hypothesized that the location of spawning sites in spring streams would affect the extent of exposure of cutthroat trout fry to M. cerebralis triactinomyxons (tams), occurrence of the parasite in their bodies, and clinical signs of whirling disease. The spring streams were warm relative to nearby streams flowing from the mountains or spawning and emergence of fry was early compared with fish in mountain streams. Tams were abundant early in the summer and clinical signs of whirling disease among age-0 fish were seen as early as mid-June in one stream. There were high densities of tams in one stream, and densities declined with upstream progression from May through July, whereas in the other stream, low densities of tams were observed in the downstream portion early in the summer, and they were not detected in July and August. Age-0 cutthroat trout were abundant; clinical signs of whirling disease were evident, and histological evidence of whirling disease was common in the stream where tams were abundant. Low densities of age-0 cutthroat trout and no clinical signs of whirling disease were observed in the stream where tams were not abundant. Among sentinel fish in the stream with abundant tams, we found extensive occurrence of M. cerebralis, with many fish showing clinical signs and histological evidence of pathology associated with M. cerebralis. The proportion of sentinel fish with clinical and histological signs of whirling disease decreased with upstream progression. In the stream with low tam, densities sentinel fish became infected with M. cerebralis, but there were essentially no clinical signs or histological indications of whirling disease."
