"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","TITLE","SOURCE","VOLUME","LPAGE","UPAGE","DOI","YEAR","ABSTRACT","X"
"12","Alex 3","YES","HAILMAN, JP; MCGOWAN, KJ; WOOLFENDEN, GE","ROLE OF HELPERS IN THE SENTINEL BEHAVIOR OF THE FLORIDA SCRUB JAY (APHELOCOMA C COERULESCENS)","ETHOLOGY","97","119","140","","1994","Two independently conceived and executed field studies using somewhat different methodologies tested the hypothesis that non-breeding helpers of the Florida scrub jay (Aphelocoma c. coerulescens) contribute importantly to antipredator sentinel behaviour. Specifically, we made four predictions: 1. Helpers participate to a non-trivial degree in sentinel behaviour; 2. Breeding pairs with helpers spend less time on sentinel behaviour and hence more time foraging; 3. Breeders with helpers have more protected foraging time; and 4. Groups with helpers have greater total sentinel time.Results of the two studies agreed on most major points and even, in many cases, on minor points and quantitative aspects. Non-breeding adult helper birds participated in sentinel watches almost as much as breeders in their group. In winter, breeding pairs with one or more helpers decreased their own sentinel time compared with that of unassisted pairs. However, in the one study, the concomitantly increased available foraging time of breeders was no better protected by another group member being on sentinel than in the lone pairs. Results of the other study showed a significant increase of protected foraging time for breeding males only. In winter, groups with helpers did not have increased total sentinel time; time was either the same (Study A) or significantly less (Study B). During nesting, breeders with helpers did not, decrease their sentinel effort relative to lone pairs. Instead, groups with helpers had a sentinel for more time. These results are interpreted as indicating that, in winter, sentinel behaviour is more important to antiraptor defense in lone pairs than larger groups. In groups with helpers the mere addition of extra pairs of eyes and ears may render formal sentinel behaviour less necessary, so breeders can decrease their sentinel time and increase their foraging time. During nesting, additional sentinels may be important for increased nest protection. The presence of helpers contributing to predator detection may thus be an important factor in the better annual survival and nesting success of breeders that have helpers (WOOLFENDEN & FITZPATRICK 1984).",NA
"13","Alex 3","NO","Hollen, Linda I.; Bell, Matthew B. V.; Radford, Andrew N.","Cooperative sentinel calling? Foragers gain increased biomass intake","CURRENT BIOLOGY","18","576","579","10.1016/j.cub.2008.02.078","2008","Many foraging animals face a fundamental tradeoff between predation and starvation [1, 2]. In a range of social species, this tradeoff has probably driven the evolution of sentinel behavior, where individuals adopt prominent positions to watch for predators while groupmates forage [3]. Although there has been much debate about whether acting as a sentinel is a selfish or cooperative behavior [3-6], far less attention has focused on why sentinels often produce quiet vocalizations (hereafter known as sentinel calls) to announce their presence [7, 8]. We use observational and experimental data to provide the first evidence that group members gain an increase in foraging success by responding to these vocal cues given by sentinels. Foraging pied babblers (Turdoides bicolor) spread out more, use more exposed patches, look up less often, and spend less time vigilant in response to sentinel calling. Crucially, we demonstrate that these behavioral alterations lead to an increase in biomass intake by foragers, which is likely to enhance survival. We argue that this benefit may be the reason for sentinel calling, making it a truly cooperative behavior [9].",NA
"14","Alex 3","YES","Ostreiher, Roni; Heifetz, Aviad","The sentinel behaviour of Arabian babbler floaters","ROYAL SOCIETY OPEN SCIENCE","4","","","10.1098/rsos.160738","2017","The sentinel behaviour of 38 Arabian babbler adult floaters, who lived alone within a territory belonging to a foreign group, was studied and compared with their own sentinel behaviour in the past, when they were group members. All floaters acted as sentinels and uttered 'alarm calls'. This suggests that sentinel activity is due at least, in part, to selfish motives. Floaters sentinelled less than they did as group members, with the decrease in sentinel activity sharper for ex-dominants than for ex-subordinates. One possible explanation for these differences is that sentinel activity is aimed not only at detecting predators, but also at detecting foreign conspecifics. Within a group, the latter incentive is stronger for breeding dominants than for subordinates, whereas all floaters alike may be trying to detect the owners of the territory in which they were roaming but also to avoid being detected by them. Other possible explanations are that floaters have less time and energy for sentinel activity because they are weaker or because foraging is more difficult in a foreign territory. This may be especially so for dominants who used to enjoy privileged access to food in their group. No significant difference was found in the rate of sentinels' 'alarm calls' between floaters and group members, suggesting that their main purpose is predator-prey communication, of which warning groupmates may be a side benefit.",NA
"15","Alex 3","maybe","Koenig, A.","Random scan, sentinels or sentinel system? A study in captive common marmosets (Callithrix jacchus).","Current primatology. Volume 2: social development, learning and behaviour.",NA,"69","76","","1994","",NA
"16","Alex 3","maybe","Blumstein, DT","Behavior - Selfish sentinels","SCIENCE","284","1633","1634","10.1126/science.284.5420.1633","1999","",NA
"17","Alex 3","YES","Wright, J; Maklakov, AA; Khazin, V","State-dependent sentinels: an experimental study in the Arabian babbler","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","268","821","826","10.1098/rspb.2000.1574","2001","Natural patterns of cooperative sentinel behaviour in Arabian babblers. Turdoides squamiceps have proven consistent with state-dependent models of individually selfish anti-predator strategies. Here we demonstrate experimentally that sentinel effort within groups is determined simply hy individual state. The two highest-ranking males in eight groups were separately fed a supplement of mealworms each for one day at a time. Control days before and after each treatment confirmed that Ilo carry-over effects occurred, and that most normal sentinel activity was carried our by alpha males, then beta males and then by. the rest of the group. When supplemented. both alpha and beta males exhibited similar marked increases in sentinel activity relative to control days. Unsupplemented males and the rest of the group incompletely compensated for these increases with reductions in sentinel effort. Differences in individual bod! mass within groups reflected natural and experimental variation in sentinel effort. Alpha and beta males weighed more than other group members, and gained mass only when supplementally fed. There was no evidence either for competitive sentinel behaviour, nor for an); increased interference between malts during the supplementation treatments. These results therefore provide strong evidence in support of the state-dependent approach to cooperative sentinel behaviour.",NA
"18","Alex 3","NO","Rauber, Ramona; Manser, Marta B.","Effect of group size and experience on the ontogeny of sentinel calling behaviour in meerkats","ANIMAL BEHAVIOUR","171","129","138","10.1016/j.anbehav.2020.11.014","2021","Increased vulnerability to predation results in young individuals of many species experiencing higher predation pressure than adults. Consequently, the production of antipredator-related calls by young can differ from that of the same vocalizations given by adults. Sentinel behaviour is a coordinated vigilance behaviour, where one individual climbs on an elevated position and scans the surroundings for predators, while the rest of the group is mainly foraging. Meerkat, Suricata suricatta, sentinels produce six distinct sentinel call types, which inform other group members about the perceived predation risk, resulting in the adjustment of personal vigilance behaviour in foraging group members. Here, we investigated the onset of sentinel behaviour and the ontogeny of the different sentinel call types as well as the development of individual vocal signatures in meerkats. We found that meerkats started acting as a sentinel around 200 days of age, but this was highly dependent on group size, with individuals from smaller groups exhibiting sentinel behaviour earlier than individuals from larger groups. All six sentinel call types were already present in the repertoire upon first emergence of the behaviour; however, call rates of 'all-clear' calls increased while 'warning' calls decreased with increasing experience as sentinel. Analysis of one of the most frequent sentinel calls, the double note calls, indicated that fundamental frequency, mean amplitude, duration and entropy differed consistently between individuals, but we found no effect of age. Rather, our results provide evidence that individual signatures in this call type were already developed when young meerkats first started to act as sentinel and changed little with age. To conclude, we showed little ontogenetic change in overall sentinel behaviour as well as in its vocal coordination, indicating potentially high selection pressures on antipredator behaviours, such as the sentinel system, resulting in consistent behavioural responses upon first emergence. (C) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
"19","Alex 3","NO","Ridley, Amanda R.; Nelson-Flower, Martha J.; Thompson, Alex M.","Is sentinel behaviour safe? An experimental investigation","ANIMAL BEHAVIOUR","85","137","142","10.1016/j.anbehav.2012.10.017","2013","Sentinel behaviour, where individuals take turns to watch for danger and give alarm calls to approaching predators, has been observed in a number of animal societies. However, the evolutionary causes of this behaviour remain unclear. There are two main, competing hypotheses regarding the evolution of sentinel behaviour. The first hypothesis is that it is a cooperative behaviour, where group members benefit from the detection of danger but share the workload of acting as a sentinel. The second is that it is a safe, selfish behaviour. Under the second hypothesis, once an individual is satiated, being a sentinel is safer because sentinels can detect threats more readily and can therefore escape from predators faster. We examined whether sentinels are safer than foragers in a wild, free-living cooperative bird (the pied babbler, Turdoides bicolor) with a well-described sentinel system. We found that sentinel behaviour was costly because (1) sentinels were targeted by predators more often, (2) they were further from cover than foragers, and (3) they took longer to reach the safety of cover following a predator alarm. These results suggest that individuals do not become sentinels because it is safer. This is the first study to demonstrate that sentinels are at greater risk of predator attack than foraging group members and suggests sentinel activity may have evolved as a form of cooperative behaviour. (C) 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
"20","Alex 3","maybe","Bednekoff, Peter A.","Sentinel Behavior: A Review and Prospectus","ADVANCES IN THE STUDY OF BEHAVIOR, VOL 47","47","115","145","10.1016/bs.asb.2015.02.001","2015","",NA
"21","Alex 3","NO","Tatalovic, Mico","FIRST QUANTITATIVE DESCRIPTION OF SENTINEL POSTS IN WILD MEERKATS","Natura Croatica","21","493","496","","2012","Tatalovic M.: First quantitative description of sentinel posts in wild meerkats. Nat. Croat., Vol. 21, No. 2, 493-496, 2012, Zagreb. Meerkats (Suricata suricatta) are small, cooperative, carnivorous mammals that engage in sentinel behaviour in which an individual keeps guard from an elevated post while the rest of the group is foraging. I present the first quantitative description of where and how high meerkats guard.",NA
"22","Alex 3","maybe","Baigrie, Bruce D.; Thompson, Alex M.; Flower, Tom P.","Interspecific signalling between mutualists: food-thieving drongos use a cooperative sentinel call to manipulate foraging partners","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","281","","","10.1098/rspb.2014.1232","2014","Interspecific communication is common in nature, particularly between mutualists. However, whether signals evolved for communication with other species, or are in fact conspecific signals eavesdropped upon by partners, is often unclear. Fork-tailed drongos (Dicrurus adsimilis) associate with mixed-species groups and often produce true alarms at predators, whereupon associating species flee to cover, but also false alarms to steal associating species' food (kleptoparasitism). Despite such deception, associating species respond to drongo non-alarm calls by increasing their foraging and decreasing vigilance. Yet, whether these calls represent interspecific sentinel signals remains unknown. We show that drongos produced a specific sentinel call when foraging with a common associate, the sociable weaver (Philetairus socius), but not when alone. Weavers increased their foraging and decreased vigilance when naturally associating with drongos, and in response to sentinel call playback. Further, drongos sentinel-called more often when weavers were moving, and weavers approached sentinel calls, suggesting a recruitment function. Finally, drongos sentinel-called when weavers fled following false alarms, thereby reducing disruption to weaver foraging time. Results therefore provide evidence of an 'all clear' signal that mitigates the cost of inaccurate communication. Our results suggest that drongos enhance exploitation of a foraging mutualist through coevolution of interspecific sentinel signals.",NA
"23","Alex 3","maybe","Munn, C.A.","The deceptive use of alarm calls by sentinel species in mixed species flocks of Neotropical birds.","Deception perspectives on human and nonhuman deceit.",NA,"169","175","","1986","",NA
"24","Alex 3","YES","Kern, Julie M.; Sumner, Seirian; Radford, Andrew N.","Sentinel dominance status influences forager use of social information","BEHAVIORAL ECOLOGY","27","1053","1060","10.1093/beheco/arv240","2016","Animals in social groups can acquire information about the need for antipredator behavior by personally sampling the environment or from information provided by others. Use of such social information is expected to be adjusted according to its reliability, but experimental tests are rare and tend to focus just on alarm calls. We use detailed behavioral observations, acoustic analyses, and playback experiments to investigate how differences in sentinel dominance status affect the behavioral decisions of foraging dwarf mongooses (Helogale parvula). Dominant individuals acted as sentinels considerably more often than subordinate group members and used higher sentinel posts for guarding, making them potentially higher-quality sentinels in terms of experience and optimal positioning for predator detection. Surveillance calls produced during sentinel bouts contained vocal information about dominance status. Playback experiments showed that foragers used surveillance calls to detect sentinel presence and identity, and adjusted their vigilance behavior accordingly. When a dominant sentinel was on duty, compared with a subordinate groupmate, foragers increased reliance on social information, gathered less information through personal vigilance, and focused more on foraging. Our study contributes novel evidence that a major benefit of individual- and class-specific vocalizations is the potential to assess differences in caller information quality.",NA
"25","Alex 3","maybe","DAGOSTINO, GM; GIOVINAZZO, LE; EATON, SW","THE SENTINEL CROW AS AN EXTENSION OF PARENTAL CARE","WILSON BULLETIN","93","394","395","","1981","",NA
"26","Alex 3","NO","Ostreiher, Roni; Heifetz, Aviad","The function of sentinel alarm calls in the Arabian babbler","JOURNAL OF AVIAN BIOLOGY","51","","","10.1111/jav.02513","2020","In various group-living species, from time to time one of the group members acts as a sentinel and utters alarm calls when detecting a predator. Hearing these calls, other group mates usually react by quickly changing their behaviour. Uttering alarm calls is an anti-predator mechanism with several possible functions. In this study our aim was to assess the function of alarm calls in the Arabian babbler Argya squamiceps, a cooperatively breeding songbird. We observed 10 groups in natural conditions and recorded 1000 reactions of 55 foraging group members to 268 sets of alarm calls uttered by the sentinels. The most frequent reaction of the group members to the sentinel's alarm calls was to stop foraging immediately, to fly up to the closest treetop and to start calling alarm calls. In all the recorded cases, the sentinel remained in place and continued to call. The alarm calls continued as long as the raptor could be seen, and then ceased gradually, after which babblers flew down and returned to foraging. We conclude that the main function of alarm calls in the Arabian babbler is pursuit deterrence. In particular, while foragers benefit from the information content of the sentinel's alarm calls and react on their basis, the raptor is the primary audience addressed by the calls uttered by the sentinel and the foragers who join it.",NA
"27","Alex 3","NO","Rauber, R.; Manser, M. B.","Discrete call types referring to predation risk enhance the efficiency of the meerkat sentinel system","SCIENTIFIC REPORTS","7","","","10.1038/srep44436","2017","Sentinel behaviour, a form of coordinated vigilance, occurs in a limited range of species, mostly in cooperative breeders. In some species sentinels confirm their presence vocally by giving a single sentinel call type, whereby the rate and subtle acoustic changes provide graded information on the variation of perceived predation risk. In contrast, meerkat (Suricata suricatta) sentinels produce six different sentinel call types. Here we show that manipulation of perception of danger has different effects on the likelihood of emitting these different call types, and that these call types affect foraging individuals differently. Increasing the perceived predation risk by playing back alarm calls decreased the production rate of the common short note calls and increased the production rate of the rare long calls. Playbacks of short note calls increased foraging behaviour and decreased vigilance in the rest of the group, whereas the opposite was observed when playing long calls. This suggests that the common call types act as all-clear signals, while the rare call types have a warning function. Therefore, meerkats increase the efficiency of their sentinel system by producing several discrete call types that represent changes in predation risk and lead to adjustments of the group's vigilance behaviour.",NA
"28","Alex 3","maybe","Huels, Florian D.; Stoeger, Angela S.","Sentinel behavior in captive meerkats (Suricata suricatta)","ZOO BIOLOGY","41","10","19","10.1002/zoo.21644","2022","The social and cooperative behavior of meerkats (Suricata suricatta), specifically their sentinel behavior, has been intensively studied in free-ranging populations. This study focuses on whether guarding in captive meerkats exhibits a pattern similar to that described for wild groups. Sentinel behavior in captivity has been somewhat neglected because predation is usually not a critical factor. Nonetheless, observations in captivity might reveal whether individual or group experience influences this specific behavior pattern. We observed three captive meerkat groups (in outdoor as well as indoor enclosures) and analyzed the duration of guarding sequences, the number of established guards, the guard posture, and the individual guard positions. We also conducted playback experiments to investigate the reaction of the sentinel and the group to bird calls (songbird vs. predatory bird species). The results demonstrated that captive groups behave much the same as wild groups. Certain individuals performed the guard job more often than other group members. Accordingly, the super sentinels observed in the wild also exist in captive groups. Playbacks showed that the sentinels reacted more strongly to the calls of predatory bird species, indicating that captive meerkats are able to categorize bird calls. We also documented major differences in behavioral responses to the calls of specific predatory bird species. Our observations underline that sentinel behavior is probably a combination of an innate, imprinted pattern that is further affected by the experience. Future studies might further investigate this influence of experience, beyond innate behavior, on the group-specific sentinel behavior pattern in captive meerkats.",NA
"29","Alex 3","maybe","Ostreiher, Roni; Heifetz, Aviad","The sentineling-Foraging trade-off in dominant and subordinate Arabian babblers","ETHOLOGY","125","98","105","10.1111/eth.12833","2019","Many cooperative breeders forage under predation risks, sentineling is a central activity, and groupmates have to balance between sentineling and foraging. The optimal balance between sentinel activity and foraging may differ among dominant and subordinate individuals, as dominants are more efficient foragers. Two theoretical models pertain to this balance and predict when individuals with different foraging abilities should switch between the two activities on the basis of their energetic state. In one of these models, individuals must attain a critical energetic level by dusk to pass the night, and in the second model fitness is monotonically increasing with the energetic state. We tested these models in the cooperatively breeding Arabian babbler, Turdoides squamiceps. We measured the length of sentinel bouts and the gaps between them both in natural conditions and following experimental feeding. Following feeding ad libitum, subordinates expanded their sentinel bouts significantly more than dominants in comparison with natural conditions. These findings are consistent with the first model, but not with the second. In the experiment, we measured the mass of mealworms consumed by each individual following a sentinel bout relative to its body mass. This ratio was larger for subordinates, indicating that they ended their sentinel bouts at a lower energetic state than dominants. This finding is consistent with the second model, but not with the first. Immediately after eating ad libitum, in 62% of the cases the first behavior performed by the babblers was a new sentinel bout, but in 17% it was a mutual interaction with a groupmate, indicating that social interactions also play a role in the trade-off vis-a-vis sentinel activity.",NA
"30","Alex 3","maybe","HORROCKS, JA; HUNTE, W","SENTINEL BEHAVIOR IN VERVET MONKEYS - WHO SEES WHOM 1ST","ANIMAL BEHAVIOUR","34","1566","1567","10.1016/S0003-3472(86)80226-3","1986","",NA
"31","Alex 3","maybe","Clutton-Brock, TH; O'Riain, MJ; Brotherton, PNM; Gaynor, D; Kansky, R; Griffin, AS; Manser, M","Selfish sentinels in cooperative mammals","SCIENCE","284","1640","1644","10.1126/science.284.5420.1640","1999","Like humans engaged in risky activities, group members of some animal societies take turns acting as sentinels. Explanations of the evolution of sentinel behavior have frequently relied on kin selection or reciprocal altruism, but recent models suggest that guarding may be an individual's optimal activity once its stomach is full if no other animal is on guard. This paper provides support for this Last explanation by showing that, in groups of meerkats (Suricata suricatta), animals guard from safe sites, and solitary individuals as well as group members spend part of their time on guard. Though individuals seldom take successive guarding bouts, there is no regular rota, and the provision of food increases contributions to guarding and reduces the Latency between bouts by the same individual.",NA
