Observation.id,Duration,ID,CODED_G.ENV,G.Env,CODED_NB_CROWS,Number.of.Crows,CODED_BAIT,Baited,CODED_SENTINEL,Sentinel,Behavior,CODED_BEHAVIOR
026 - FVM - 2 crows - Baited,0.235,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.736,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,1.024,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.746,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,4.706,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.497,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,0.499,26,0,Green Area,0,1,1,Y,1,Y,HU,2
026 - FVM - 2 crows - Baited,5.263,26,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,2.25,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,6.762,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,2.004,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,1.001,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,1.214,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,12.005,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,10.994,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,1.248,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,0.498,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,0.994,28,0,Green Area,0,1,1,Y,1,Y,HU,2
028 - FVM - 2 crows - Baited,0.5,28,0,Green Area,0,1,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,3.034,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,5.205,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.749,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.499,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,1.539,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,1.251,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.815,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.821,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.324,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.85,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.998,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.746,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,2.497,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,2.017,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.749,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,2.001,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,0.252,29,0,Green Area,0,2,1,Y,1,Y,HU,2
029 - FVM - 2 crows - Baited,1.599,29,0,Green Area,0,2,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.749,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,2.004,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.498,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,3,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.496,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.762,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.239,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.498,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.257,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.258,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.249,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,7.501,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.499,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.498,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.497,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.262,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.999,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.498,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.742,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.002,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.256,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.236,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.241,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.495,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.734,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.501,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.5,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.821,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.497,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.503,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.999,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.998,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.762,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.5,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,0.756,30,0,Green Area,0,1,1,Y,1,Y,HU,2
030 - FVM - 2 crows - Baited,1.241,30,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.739,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.75,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.258,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.51,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.753,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,5.501,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.762,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.748,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.76,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.25,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.752,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.25,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.503,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,3.25,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.495,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.999,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.25,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,2.46,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,2.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.999,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,2.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.779,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.499,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.249,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.749,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.248,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.748,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,1.75,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.788,31,0,Green Area,0,1,1,Y,1,Y,HU,2
031 - FVM - 2 crows - Baited,0.748,31,0,Green Area,0,1,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.153,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,3.499,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.249,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.248,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.501,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.77,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.502,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.51,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.729,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.754,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.756,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.004,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,2.498,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.501,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.753,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.496,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.499,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.498,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.501,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.997,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,0.499,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,1.996,33,1,Commercial,0,2,1,Y,1,Y,HU,2
033 - NF Subways PLot - 2 crows - Baited,2.502,33,1,Commercial,0,2,1,Y,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.998,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,3.75,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.284,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,1.25,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.268,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,1.253,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,2.25,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.992,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,1.499,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.236,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,2.242,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,0.987,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,1.5,35,0,Green Area,0,3,0,N,1,Y,HU,2
035 - Charles Ansell Park - 3 crows - No Bait,1.249,35,0,Green Area,0,3,0,N,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.714,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.748,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.502,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.496,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.5,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.503,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.276,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,2.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.25,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,2.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.75,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.741,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.249,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.5,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.248,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.749,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,2.75,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.25,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.25,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.248,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.25,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.748,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.249,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.517,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.99,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.999,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.891,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.737,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.492,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.999,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,4.001,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.739,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.248,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.251,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.002,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.005,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.735,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.741,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,5.259,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.497,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.243,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.252,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.24,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,1.013,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,0.499,36,0,Green Area,0,2,1,Y,1,Y,HU,2
036 - FVM - 2 crows - Baited,3.544,36,0,Green Area,0,2,1,Y,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.748,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,1.232,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.247,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.5,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.501,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.502,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.757,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,1.498,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,1.506,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,5.735,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,0.503,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,2.504,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,2.245,37,0,Green Area,0,2,0,N,1,Y,HU,2
037 - Lancaster Park - 4 crows - No Bait,2.261,37,0,Green Area,0,2,0,N,1,Y,HU,2
