STUDY_ID,REVIEWERS,INCLUDE,AUTHORS,TITLE,SOURCE,VOLUME,LPAGE,UPAGE,DOI,YEAR,ABSTRACT,X
29,Alex Combined,YES,"Ostreiher, Roni; Heifetz, Aviad",The sentineling-Foraging trade-off in dominant and subordinate Arabian babblers,ETHOLOGY,125,98,105,10.1111/eth.12833,2019,"Many cooperative breeders forage under predation risks, sentineling is a central activity, and groupmates have to balance between sentineling and foraging. The optimal balance between sentinel activity and foraging may differ among dominant and subordinate individuals, as dominants are more efficient foragers. Two theoretical models pertain to this balance and predict when individuals with different foraging abilities should switch between the two activities on the basis of their energetic state. In one of these models, individuals must attain a critical energetic level by dusk to pass the night, and in the second model fitness is monotonically increasing with the energetic state. We tested these models in the cooperatively breeding Arabian babbler, Turdoides squamiceps. We measured the length of sentinel bouts and the gaps between them both in natural conditions and following experimental feeding. Following feeding ad libitum, subordinates expanded their sentinel bouts significantly more than dominants in comparison with natural conditions. These findings are consistent with the first model, but not with the second. In the experiment, we measured the mass of mealworms consumed by each individual following a sentinel bout relative to its body mass. This ratio was larger for subordinates, indicating that they ended their sentinel bouts at a lower energetic state than dominants. This finding is consistent with the second model, but not with the first. Immediately after eating ad libitum, in 62% of the cases the first behavior performed by the babblers was a new sentinel bout, but in 17% it was a mutual interaction with a groupmate, indicating that social interactions also play a role in the trade-off vis-a-vis sentinel activity.",NA
31,Alex Combined,YES,"Clutton-Brock, TH; O'Riain, MJ; Brotherton, PNM; Gaynor, D; Kansky, R; Griffin, AS; Manser, M",Selfish sentinels in cooperative mammals,SCIENCE,284,1640,1644,10.1126/science.284.5420.1640,1999,"Like humans engaged in risky activities, group members of some animal societies take turns acting as sentinels. Explanations of the evolution of sentinel behavior have frequently relied on kin selection or reciprocal altruism, but recent models suggest that guarding may be an individual's optimal activity once its stomach is full if no other animal is on guard. This paper provides support for this Last explanation by showing that, in groups of meerkats (Suricata suricatta), animals guard from safe sites, and solitary individuals as well as group members spend part of their time on guard. Though individuals seldom take successive guarding bouts, there is no regular rota, and the provision of food increases contributions to guarding and reduces the Latency between bouts by the same individual.",NA
33,Alex Combined,YES,"Walker, Lindsay A.; York, Jenny E.; Young, Andrew J.",Sexually selected sentinels? Evidence of a role for intrasexual competition in sentinel behavior,BEHAVIORAL ECOLOGY,27,1461,1470,10.1093/beheco/arw064,2016,"Although the evolutionary mechanisms that favor investment in cooperative behaviors have long been a focus of research, comparatively few studies have considered the role that sexual selection may play. For example, evolutionary explanations for sentinel behavior (where 1 individual assumes an elevated position and scans the surroundings while other group members forage nearby) have traditionally focused on the inclusive fitness benefits arising from its effects on predation risk, while its potential role in defense against intrasexual competitors remains largely unexplored. Here, we provide experimental evidence of a role for sentinel behavior in intrasexual competition, in a cooperatively breeding songbird, the white-browed sparrow weaver (Plocepasser mahali). First, dominant males sentinel substantially more than other group members (even when controlling for variation in age and body condition), consistent with a role for sentineling in intrasexual competition for mates and/or territory. Second, experimental playback of an unfamiliar male's solo song elicited a marked increase in sentineling by the dominant male, and the vocal response to the playback also positively predicted his sentinel effort following the simulated intrusion. A second experiment also suggests that sentineling may facilitate mounting rapid anti-intruder responses, as responses to intruder-playback occurred significantly earlier when the dominant male was sentineling rather than foraging at playback onset. Together, our findings provide rare support for the hypothesis that sentinel behavior plays a role in intrasexual competition, and so highlight the potential for sexually selected direct benefits to shape its expression in this and other social vertebrates.",NA
34,Alex Combined,YES,"Arbon, Josh J.; Kern, Julie M.; Morris-Drake, Amy; Radford, Andrew N.","Context-dependent contributions to sentinel behaviour: audience, satiation and danger effects",ANIMAL BEHAVIOUR,165,143,152,10.1016/j.anbehav.2020.04.021,2020,"In group-living species, particularly cooperative breeders, all group members contribute to various behaviours but there is considerable variation between and within individuals in their contributions. While it is well established that there is variation due to differences in the costs and benefits for individuals of different sex, age and dominance status, shorter-term social, internal and environmental factors are also likely to be important. Sentinel behaviour, where individuals adopt a raised position to scan for danger while groupmates forage, offers an opportunity to test hypotheses about context-dependent differences in contributions to group behaviour. Here we used field experiments to manipulate the conspecific audience, satiation state and perceived danger level of dwarf mongooses, Helogale parvula, to investigate how sentinel contributions are modulated by individual context. In addition to standard measures of sentinel behaviour (likelihood of becoming a sentinel, number of bouts, bout duration), we considered within-bout behaviour in terms of surveillance calls and attentiveness (head-scanning rate and distraction levels). We found that the presence of a neighbouring forager (audience) decreased sentinel contributions, while individuals increased their sentinel investment when satiated and experiencing an increased danger level. Changes in head-scanning rate provided evidence for an interaction between the effect of satiation and danger levels, demonstrating that sentinel attentiveness was influenced by changes in context. Our results demonstrate that sentinel behaviour is strongly context dependent, with effects seen in initial bout and bout quantity decisions, as well as within-bout characteristics, and that individual contributions to group behaviours can vary depending on social, internal and environmental factors. (c) 2020 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
35,Alex Combined,YES,"Zacharias, V. J.; Mathew, D. N.",Behaviour of the whiteheaded babbler Turdoides affinis Jerdon,Journal of the Bombay Natural History Society,95,8,14,,1998,"The whiteheaded babbler, Turdoides affinis, lives in groups. A group has a large home range within which there is a well defined territory. The species has a well organised sentinel system. Though the sentinel duty was shared by other members of the group, the breeding birds and other older birds acted more often as sentinels and for a longer duration. It is speculated that allopreening in the whiteheaded babbler helps to reduce aggression and promote group integration. This babbler roosts communally. The groups of whiteheaded babblers appear to be organised hierarchically. Calls appear to have a definite function in the species. Clumping, allopreening, sentinel system and the large repertoire of vocalizations may be helpful in consolidating the group and co-ordinating its movements.",NA
38,Alex Combined,YES,"Yasukawa, Ken; Cockburn, Andrew",ANTIPREDATOR VIGILANCE IN COOPERATIVELY BREEDING SUPERB FAIRY-WRENS (MALURUS CYANEUS),AUK,126,147,154,10.1525/auk.2009.08074,2009,"We studied 19 color-banded groups of the cooperatively breeding Superb Fairy-wren (Malurus cyaneus) to determine (1) the contributions of breeding and helper males to antipredator vigilance, (2) whether such vigilance reduces predation risk, and (3) the mechanisms by which it might do so. Time spent as a sentinel (perching and scanning from conspicuous locations within sight of the nest) increased with group size, but successful and depredated nests did not differ significantly in sentinel time, and sentinels did not appear to coordinate their vigilance. Both breeder and helper males acted as sentinels, and both were more vigilant when nests contained nestlings than when they contained eggs. Breeders with helpers spent more time as sentinels than those without helpers. Presence of a sentinel reduced the time feeding adults spent pausing to scan when approaching and leaving the nest. Thus, vigilance could enable a male to detect a predator and decoy it away from the nest site or prevent it from locating the nest by deferring feeding visits of other provisioners, but we could not demonstrate that it reduced nest predation by the major nest predator, the Pied Currawong (Strepera graculina). Received 30 April 2008, accepted 15 September 2008.",NA
44,Alex Combined,YES,"Kern, Julie M.; Radford, Andrew N.","Sentinel dwarf mongooses, Helogale parvula, exhibit flexible decision making in relation to predation risk",ANIMAL BEHAVIOUR,98,185,192,10.1016/j.anbehav.2014.10.012,2014,"To maximize survival, animals should adjust their behaviour flexibly in response to indicators of predation risk. Predation risk is affected by a range of ecological, social and individual variables, which can fluctuate over different timescales. In general, current risk levels are known to influence the behaviour of sentinels, individuals that adopt a raised position to scan for danger while groupmates are engaged in other activities. However, there has been little consideration of whether decisions made at different stages of a sentinel bout are affected in the same way by perceived predation risk and whether the same level of behavioural plasticity is exhibited when making these different decisions. Here we used detailed behavioural observations and a playback experiment to investigate the behavioural choices of dwarf mongoose sentinels at three different stages of a bout (before, start, during). Individuals were more likely to begin a bout, and did so sooner, following alarm calls, which are immediate, direct indicators of elevated risk. Sentinels selected an initial height from which to guard depending on factors that tended to vary in the medium term (hours), choosing higher positions in denser habitat and less windy conditions. In contrast, decisions about bout duration were made in relation to short-term (seconds/minutes) changes in information, with sentinels guarding for longer when an alarm call was given during a bout, and terminating bouts sooner when groupmates moved out of sight. Our results demonstrate that sentinel decisions are influenced by both direct and indirect indicators of likely predation risk and that sentinel behaviour is adjusted flexibly with regard to information presented on various timescales, highlighting the complexity of decision-making processes. (C) 2014 The Authors. Published on behalf of The Association for the Study of Animal Behaviour by Elsevier Ltd.",NA
49,Alex Combined,YES,"Ragusa-Netto, J.",Raptors and campo-cerrado bird mixed flock led by Cypsnagra hirundinacea (Emberizidae:Thraupinae),Revista Brasileira de Biologia,60,461,467,,2000,"Bird mixed flocks including Cypsnagra hirundinacea and Neothraupis fasciata as species with sentinels were studied in campo-cerrado in order to investigate the possible relationship between alertness and the mixed flock leadership. This study was conducted from March to September 1996 and mixed flocks were observed on average for 2:30h. The time with sentinels were recorded for C. hirundinacea and N. fasciata. The sentinels of Cypsnagra hirundinacea performed most of the vigilance (time with sentinel was on average 42 +- 17%, 41 +- 17% of which by C. hirundinacea, whereas only 1.2% by N. fasciata) and gave all the alarm calls recorded (54% of the encounters with raptors stimulated alarm calls). A relationship was verified between time with sentinel and the rate of encounters with raptor (ANOVA, F = 3.0, P < 0.05). The results of this study are an evidence for the anti-predatory function of mixed flocks, in campo-cerrado, and the alertness as a major feature of a leader species, since C. hirundinacea always led those flocks.",NA
50,Alex Combined,YES,"Santema, Peter; Clutton-Brock, Tim",Meerkat helpers increase sentinel behaviour and bipedal vigilance in the presence of pups,ANIMAL BEHAVIOUR,85,655,661,10.1016/j.anbehav.2012.12.029,2013,"Helpers in cooperatively breeding species may assist in a number of cooperative activities, such as nest building, incubating, babysitting and feeding of offspring. In addition, individuals may engage in sentinel behaviour and other forms of vigilance, which benefits other group members not only by reducing the risk of predation, but also by allowing them to reduce their own vigilance. It remains unclear, however, whether these vigilance behaviours are selfish, and the benefits to other group members simply an unselected by-product, or whether they are forms of cooperation, and the benefits to group members a selective force favouring the behaviour. In meerkats, Suricata suricatta, both female and male helpers were more likely to perform sentinel behaviour after dependent pups had started joining the group on foraging trips. In addition, female helpers performed more bipedal vigilance and found less food when pups were in the group. These results suggest that sentinel behaviour and bipedal vigilance represent forms of cooperation in meerkats. (C) 2013 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",NA
59,Alex Combined,YES,"Sorato, Enrico; Gullett, Philippa R.; Griffith, Simon C.; Russell, Andrew F.",Effects of predation risk on foraging behaviour and group size: adaptations in a social cooperative species,ANIMAL BEHAVIOUR,84,823,834,10.1016/j.anbehav.2012.07.003,2012,"There is a divergence between models examining the evolution of group living in species in which groups are largely based on families and those based on fluid aggregations of nonrelatives. In the former, the onus has been on ecological and demographic factors that select for offspring philopatry; in the latter, the importance of factors such as foraging success and predation risk are more typically emphasized. We examined the association between predation risk and both group size and foraging behaviour in the chestnut-crowned babbler, Pomatostomus ruficeps, a family-living cooperatively breeding bird that does not appear to face classic ecological or demographic constraints on dispersal and breeding. Groups were more likely to encounter, and be attacked by, avian predators when dependent young were present. Large groups were also more likely to encounter a predator, but less likely to be attacked by it, consistent with a benefit of group living through early predator detection or confusion effects. In addition, the average risk of predation for a given individual was reduced in large groups compared to small ones, owing to the dilution effect. That predation might partly select for group living in this species is boosted by findings showing reductions in ground foraging and increases in sentinel behaviour when predation risk was higher. We conclude that predation might represent an important force selecting for sociality in chestnut-crowned babblers, and highlight the need for future studies to consider more explicitly inherent benefits to group living in the evolution of vertebrate cooperative breeding systems. 2012 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd.",NA
66,Alex Combined,YES,"Ridley, A. R.; Raihani, N. J.",Facultative response to a kleptoparasite by the cooperatively breeding pied babbler,BEHAVIORAL ECOLOGY,18,324,330,10.1093/beheco/arl092,2007,"In many cases of interspecific kleptoparasitism, hosts develop defensive behaviors to minimize the impact of kleptoparasites. Because vigilance and defensive behaviors are often costly, selection should favor hosts that adjust the amount of investment needed to minimize losses to kleptoparasitism. However, examples of such facultative responses are rare. Here, we investigate the response of cooperatively breeding pied babblers (Turdoides bicolor) to the drongo (Dicrurus adsimilis), an avian kleptoparasite that regularly follows pied babbler groups, often giving alarm calls to alert the group to predators but also occasionally giving false alarm calls in order to steal food items. We show that pied babbler response to drongos varies markedly according to babbler group size. In small groups, where there are few individuals available to act as sentinels, babblers sentinel less when a drongo is present and respond strongly to drongo alarm calls. However, in large groups, where there are many individuals available to participate in predator vigilance, babblers sentinel more often when a drongo is present, rarely respond to drongo alarm calls, and aggressively displace drongos, with a consequent decline in the number of successful kleptoparasitism events. This behavior represent a facultative response to a kleptoparasite according to the costs versus benefits of tolerating their presence.",NA
70,Alex Combined,YES,"Santema, Peter; Teitel, Zachary; Manser, Marta; Bennett, Nigel; Clutton-Brock, Tim",Effects of cortisol administration on cooperative behavior in meerkat helpers,BEHAVIORAL ECOLOGY,24,1122,1127,10.1093/beheco/art039,2013,"Although the ultimate causes for variation in contributions to helping in cooperative breeders are increasingly well understood, the underlying physiological mechanisms remain largely unknown. Recent work has suggested that glucocorticoids may play an important role in the expression of cooperative behavior. Here, we present the first experimental test of the effects of glucocorticoids on helper behavior in a cooperative breeder. Glucocorticoid levels of adult female and male meerkat, Suricata suricatta, helpers were elevated with an intramuscular injection of cortisol (hydrocortisone 21-hemisuccinate sodium salt) dissolved in saline, whereas matched controls simultaneously received an injection of physiological saline. The treatment successfully elevated circulating glucocorticoid levels but did not result in significant changes in pup feeding or sentinel behavior. Females, however, spent less time foraging when glucocorticoid levels were elevated and appeared to spend more time in close proximity to pups. These results provide no evidence that glucocorticoids affect cooperative behaviors but suggest that there may be an effect on foraging effort and affiliation with pups.",NA
76,Alex Combined,YES,"Piassi, Priscila M.; Batisteli, Augusto F.; Gussoni, Carlos O. A.; Pizo, Marco A.",Effects of the association between Mimus saturninus and Furnarius rufus on their foraging and alert behaviors,ORNITHOLOGY RESEARCH,30,99,103,10.1007/s43388-022-00090-5,2022,"Several studies on the social behavior of birds have shown two main benefits of social groups: optimization of foraging and decreasing the risk of predation. We tested whether the association between rufous hornero (Furnarius rufus) and the chalk-browed mockingbird (Mimus saturninus) affects the foraging and alert/sentinel behaviors of both species. We also evaluated the influence of group size on these behaviors. During 60 h of observations on each species, the association was studied in a periurban area in Brazil with scan samplings. The presence of F. rufus increased the frequency of foraging while reducing the time that M. saturninus dedicated to alert/sentinel behaviors. For F. rufus, however, the presence of M. saturninus did not affect the studied behaviors, although a different study pointed out that this species could also benefit from the association with M. saturninus, indicating that both species may occasionally be positively affected by the association with each other.",NA
90,Alex Combined,YES,"Eastcott, Emma; Kern, Julie M.; Morris-Drake, Amy; Radford, Andrew N.",Intrapopulation variation in the behavioral responses of dwarf mongooses to anthropogenic noise,BEHAVIORAL ECOLOGY,31,680,691,10.1093/beheco/araa011,2020,"Anthropogenic noise is an increasingly widespread pollutant, with a rapidly burgeoning literature demonstrating impacts on humans and other animals, However, most studies have simply considered if there is an effect of noise, examining the overall cohort response. Although substantial evidence exists for intraspecific variation in responses to other anthropogenic disturbances, this possibility has received relatively little experimental attention with respect to noise. Here, we used field-based playbacks with dwarf mongooses (Helogale parvula) to test how traffic noise affects vigilance behavior and to examine potential variation between individuals of different age class, sex, and dominance status. Foragers exhibited a stronger immediate reaction and increased their subsequent vigilance (both that on the ground and as a sentinel) in response to traffic-noise playback compared with ambient-sound playback. Traffic-noise playback also resulted in sentinels conducting longer bouts and being more likely to change post height or location than in ambient-sound playback. Moreover, there was evidence of variation in noise responses with respect to age class and dominance status but not sex. In traffic noise, foraging pups were more likely to flee and were slower to resume foraging than adults; they also tended to increase their vigilance more than adults. Dominants were more likely than subordinates to move post during sentinel bouts conducted in traffic-noise trials. Our findings suggest that the vigilance-foraging trade-off is affected by traffic noise but that individuals differ in how they respond. Future work should, therefore, consider intra-population response variation to understand fully the population-wide effects of this global pollutant.",NA
