Observation id,Observation date,Description,Media file,Total length,FPS,Location,Environment,Number of crows,Baited,Sentinel present,Code,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,499.999,499.999,,
036 - FVM - 2 crows - Baited,2022-08-27 07:48:00,2 crows fly in and start a fight with individual 2. Not considered part of the group (Nb of crows = 2),H:/Crow videos/NOT CODED vids/036.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,036,No focal subject,Sentinel Present,Sentinel Behavior,Heard,STATE,0.000,771.125,771.125,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,230.462,230.462,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 1,Head Down,Vigilance,,STATE,0.000,3.402,3.402,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Head Down,Vigilance,,STATE,0.000,1.439,1.439,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,198.944,198.944,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,Individual 1,Moving,Vigilance,Walking,STATE,0.000,8.403,8.403,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,Individual 1,Away from Bait,,,STATE,0.000,6.905,6.905,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,Individual 1,Away from Bait,,,STATE,0.000,6.905,6.905,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,Individual 1,Away from Bait,,,STATE,0.000,6.905,6.905,,
037-2 - Dairy Queen PLot - 7 crows - Baited,2022-08-27 08:38:00,Spooked by raptor in the area,H:/Crow videos/NOT CODED vids/037-2.MOV,600.850,59.94,"43.177786, -79.239675",Community Commercial,7,yes,yes,037,Individual 1,Away from Bait,,,STATE,0.000,6.905,6.905,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,235.999,235.999,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 1,Moving,Vigilance,Walking,STATE,0.000,2.900,2.900,,
038 - Landcaster Park - 3 crows - No Bait,2022-09-01 07:30:00,,H:/Crow videos/NOT CODED vids/038.MOV,236.390,59.94,"43.178470, -79.239195",Major Green Space,3, no,yes,038,Individual 2,Moving,Vigilance,Walking,STATE,0.000,6.154,6.154,,
038-2 - Dairy Queen PLot - 7 crows - Baited,2022-09-01 07:40:00,,H:/Crow videos/NOT CODED vids/038-2.MOV,741.790,59.94,"43.177779, -79.239655",Community Commercial,7,yes,yes,038,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,243.137,243.137,,
038-2 - Dairy Queen PLot - 7 crows - Baited,2022-09-01 07:40:00,,H:/Crow videos/NOT CODED vids/038-2.MOV,741.790,59.94,"43.177779, -79.239655",Community Commercial,7,yes,yes,038,Individual 1,Head Up,Vigilance,,STATE,0.000,9.411,9.411,,
038-2 - Dairy Queen PLot - 7 crows - Baited,2022-09-01 07:40:00,,H:/Crow videos/NOT CODED vids/038-2.MOV,741.790,59.94,"43.177779, -79.239655",Community Commercial,7,yes,yes,038,Individual 2,Head Up,Vigilance,,STATE,0.000,11.912,11.912,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,574.181,574.181,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Head Up,Vigilance,,STATE,0.000,0.903,0.903,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Head Up,Vigilance,,STATE,0.000,0.900,0.900,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,49.412,49.412,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Moving,Vigilance,Walking,STATE,0.000,1.899,1.899,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Moving,Vigilance,Walking,STATE,0.000,0.652,0.652,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Away from Bait,,,STATE,0.000,41.917,41.917,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Away from Bait,,,STATE,0.000,41.917,41.917,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Away from Bait,,,STATE,0.000,41.917,41.917,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Away from Bait,,,STATE,0.000,41.917,41.917,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,1366.216,1366.216,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Down,Vigilance,,STATE,0.000,1.176,1.176,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Head Down,Vigilance,,STATE,0.000,2.400,2.400,,
042 - CIBC PLot - 2 crows - Baited,2022-09-21 09:13:00,	,H:/Crow videos/NOT CODED vids/042.MOV,616.520,59.94,"43.176775, -79.242460",Major Commercial,2,yes, no,047,No focal subject,Sentinel Absent,Sentinel Behavior,,STATE,0.000,197.960,197.960,,
043 - Ontario Bodyshop PLot - 2 crows - Baited,2022-09-28 08:05:00,Stopped because someone parked in front of me.,H:/Crow videos/NOT CODED vids/043.MOV,497.350,59.94,"43.177240, -79.266689",Arterial Commercial,2,yes,yes,043,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,496.986,496.986,,
043-2 - Esso PLot - 25 crows - Baited,2022-09-28 08:19:00,,H:/Crow videos/NOT CODED vids/043-2.MOV,121.607,59.94,"43.177676, -79.265514",Buisness Commercial Employment,25,yes,yes,043,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,121.524,121.524,,
045 - Ontario Esso - 5 crows - Baited,2022-09-29 07:38:00,,H:/Crow videos/NOT CODED vids/045.MOV,1020.820,59.94,"43.177676, -79.265514",Buisness Commercial Employment,5,yes,yes,045,No focal subject,Sentinel Present,Sentinel Behavior,Spotted,STATE,0.000,1020.462,1020.462,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Moving,Vigilance,Hopping,STATE,0.154,1.652,1.498,,
024 - FVM - 2 crows - No Bait,2022-07-07 06:13:00,,D:/Crow videos/024.MOV,191.890,59.94,"43.182620, -79.245815",Major Green Space,2, no,yes,024,Individual 1,Peck at Food/Bait,Foraging,,POINT,0.211,0.211,NA,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 2,Head Down,Vigilance,,STATE,0.400,1.900,1.500,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,0.402,0.402,NA,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Moving,Vigilance,Hopping,STATE,0.650,1.150,0.500,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,0.650,0.650,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Head Down,Vigilance,,STATE,0.653,3.657,3.004,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 2,Peck at Food/Bait,Foraging,,POINT,0.900,0.900,NA,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Moving,Vigilance,Walking,STATE,0.901,1.899,0.998,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Moving,Vigilance,Walking,STATE,0.904,2.400,1.496,,
031 - FVM - 2 crows - Baited,2022-07-26 06:37:00,,D:/Documents/Brock U - MSc/Thesis/Videos/031.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,031,Individual 1,Moving,Vigilance,Walking,STATE,1.151,5.399,4.248,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Head Up,Vigilance,,STATE,1.154,2.388,1.234,,
024 - FVM - 2 crows - No Bait,2022-07-07 06:13:00,,D:/Crow videos/024.MOV,191.890,59.94,"43.182620, -79.245815",Major Green Space,2, no,yes,024,Individual 1,Head Up,Vigilance,,STATE,1.155,6.153,4.998,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Up,Vigilance,,STATE,1.177,2.412,1.235,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,1.190,1.190,NA,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Peck at Food/Bait,Foraging,,POINT,1.400,1.400,NA,,
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,Individual 1,Peck at Food/Bait,Foraging,,POINT,1.402,1.402,NA,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 2,Moving,Vigilance,Walking,STATE,1.440,10.159,8.719,,
033 - NF Subways PLot - 2 crows - Baited,2022-08-02 08:32:00,,H:/Crow videos/NOT CODED vids/033.MOV,1200.050,59.94,"43.114516, -79.113412",Community Commercial,2,yes,yes,033,Individual 1,Moving,Vigilance,Walking,STATE,1.653,25.404,23.751,,
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,Individual 1,Peck at Food/Bait,Foraging,,POINT,1.654,1.654,NA,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 2,Peck at Food/Bait,Foraging,,POINT,1.658,1.658,NA,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 2,Head Up,Vigilance,,STATE,1.900,3.400,1.500,,
040 - Dairy Queen PLot - 3 crows - Baited,2022-09-08 08:50:00,,H:/Crow videos/NOT CODED vids/040.MOV,1200.050,59.94,"43.178229, -79.240608",Major Green Space,3,yes,yes,040,Individual 1,Head Up,Vigilance,,STATE,1.900,5.150,3.250,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 1,Head Up,Vigilance,,STATE,1.901,2.650,0.749,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 2,Moving,Vigilance,Walking,STATE,1.901,3.650,1.749,,
035 - Charles Ansell Park - 3 crows - No Bait,2022-08-24 08:25:00,,H:/Crow videos/NOT CODED vids/035.MOV,500.050,59.94,"43.214244, -79.213456",Major Green Space,3, no,yes,035,Individual 2,Head Down,Vigilance,,STATE,2.150,5.899,3.749,,
037 - Lancaster Park - 4 crows - No Bait,2022-08-27 08:23:00,,H:/Crow videos/NOT CODED vids/037.MOV,230.580,59.94,"43.178580, -79.239173",Major Green Space,4, no,yes,037,Individual 1,Peck at Food/Bait,Foraging,,POINT,2.154,2.154,NA,,
020 - FVM - 2 crows - No Bait,2022-06-25 06:20:00,,D:/Crow videos/020.MOV,87.790,59.94,"43.182620, -79.245815",Major Green Space,2, no, no,020,Individual 1,Moving,Vigilance,Walking,STATE,2.386,3.638,1.252,,
029 - FVM - 2 crows - Baited,2022-07-22 06:30:00,,D:/Crow videos/029.MOV,1200.050,59.94,"43.182620, -79.245815",Major Green Space,2,yes,yes,029,Individual 1,Moving,Vigilance,Walking,STATE,2.389,4.386,1.997,,
039 - Glen Morris Dr - 2 crows - Baited,2022-09-01 08:20:00,,H:/Crow videos/NOT CODED vids/039.MOV,574.870,59.94,"43.139716, -79.237330",Minor Green space,2,yes, no,039,Individual 1,Head Down,Vigilance,,STATE,2.401,6.401,4.000,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 2,Head Up,Vigilance,,STATE,2.401,3.948,1.547,,
041 - FVM - 7 crows - Baited,2022-09-10 08:04:00,,H:/Crow videos/NOT CODED vids/041.MOV,1366.520,59.94,"43.180794, -79.244033",Major Green Space,7,yes,yes,041,Individual 1,Head Down,Vigilance,,STATE,2.413,4.155,1.742,,
032  - Ontario St. Tim Hortons - 4 crows - No Bait,2022-07-27 06:21:00,,D:/Documents/Brock U - MSc/Thesis/Videos/032.MOV,619.720,59.94,"43.171783, -79.265237",Arterial Commercial,4, no, no,032,Individual 1,Moving,Vigilance,Walking,STATE,2.651,4.136,1.485,,
